;id;f0_mean;f0_std;duration;energy;tfidf;Participant;words_id
0;4;1.37410;11.8302375346;0.99641;0.97839;0.0136159812736;A;Bed002.w.8
1;5;0.55294;45.4319839339;0.45839;0.87267;0.792784067042;A;Bed002.w.10
2;6;1.02994;24.0814492188;0.83687;0.93254;2.0868785777;A;Bed002.w.11
3;7;0.90475;35.0004665556;0.58333;1.01567;1.49939595288;A;Bed002.w.12
4;8;0.59609;44.8954953571;0.62963;0.95904;1.95921071177;A;Bed002.w.13
5;9;1.22009;0.895993347222;0.61557;1.07944;0.446035449464;A;Bed002.w.14
6;10;1.17048;2.19968666667;0.71071;0.99491;1.4577460653;A;Bed002.w.16
7;11;0.96914;24.6427321623;0.84076;0.92699;6.99718111346;A;Bed002.w.17
8;12;0.75965;35.53795556;0.82979;0.91272;2.33239370449;A;Bed002.w.18
9;13;0.78991;25.53365346;0.40891;0.90749;0.467677915038;A;Bed002.w.19
10;14;1.13945;3.86205564461;1.29967;0.97987;0.0136159812736;A;Bed002.w.20
11;15;0.00000;0.0;0.51633;0.77851;0.0165809978992;A;Bed002.w.22
12;16;1.10862;2.2370073;0.98113;0.97570;6.99718111346;A;Bed002.w.25
13;17;1.07281;0.557957183673;0.19147;0.99231;0.00617163427046;A;Bed002.w.26
14;18;0.87544;40.7906111437;1.26115;1.01296;6.99718111346;A;Bed002.w.27
15;23;1.31225;12.5585884706;0.96666;0.98914;0.956136549665;A;Bed002.w.35
16;24;1.12359;10.2498640408;0.32802;0.92611;0.584778825044;A;Bed002.w.36
17;25;0.75911;39.051676537;1.10651;0.89057;2.05799444514;A;Bed002.w.37
18;26;1.17766;4.5807815;0.50709;0.97881;0.773372649382;A;Bed002.w.38
19;27;1.14933;2.88326249587;0.59770;0.95175;1.29577428027;A;Bed002.w.39
20;28;0.83096;31.2928715417;0.77185;1.08251;0.0144187923188;A;Bed002.w.40
21;29;0.71803;44.5365371003;0.79978;1.14953;1.1346780184;A;Bed002.w.41
22;30;0.69950;40.9768962037;0.93204;1.11816;1.96795718816;A;Bed002.w.42
23;31;0.98089;30.9435342812;1.09582;0.93082;1.04957716702;A;Bed002.w.43
24;32;0.49744;46.8317251563;0.84327;0.98997;1.96795718816;A;Bed002.w.44
25;33;0.86470;37.2153604898;0.62618;0.89635;1.04957716702;A;Bed002.w.45
26;34;1.19688;1.98148688847;1.29967;0.97353;0.0136159812736;A;Bed002.w.48
27;35;1.05756;16.1404964008;1.60194;0.96573;3.18053686975;A;Bed002.w.49
28;36;1.17068;2.15587502422;0.59070;1.01168;0.874647639183;A;Bed002.w.51
29;37;0.77096;43.5496313125;1.00000;1.00000;6.99718111346;A;Bed002.w.53
30;38;1.22018;1.32280938776;0.38210;0.93100;0.723530507805;A;Bed002.w.54
31;39;1.18520;1.15371733564;0.89041;1.01304;0.538244701035;A;Bed002.w.55
32;40;0.67236;44.5630450144;1.00000;1.00000;6.99718111346;A;Bed002.w.56
33;41;0.47449;43.1276976529;1.23490;1.13839;1.39943622269;A;Bed002.w.57
34;50;0.87267;39.86073725;0.83696;1.34623;2.5444294958;A;Bed002.w.71
35;53;0.78853;64.7890947769;0.45839;1.20103;0.792784067042;A;Bed002.w.77
36;54;1.16977;48.0112363733;0.54598;1.17109;0.279887244538;A;Bed002.w.79
37;55;1.47951;9.49777032099;0.51633;1.08332;0.0165809978992;A;Bed002.w.81
38;56;1.55093;6.057701125;0.32802;1.09490;0.584778825044;A;Bed002.w.82
39;57;1.70432;4.01049493333;0.55290;1.11401;1.55492913632;A;Bed002.w.83
40;58;1.49267;9.20101461111;0.93918;1.08981;1.11954897815;A;Bed002.w.84
41;59;1.32821;1.40204692;0.45645;1.09476;0.340140748571;A;Bed002.w.85
42;60;1.36013;3.84046078201;1.27273;0.95635;6.99718111346;A;Bed002.w.86
43;61;1.29480;0.310903;0.41428;0.99902;0.956136549665;A;Bed002.w.87
44;62;1.25372;3.20291355556;0.69466;0.93285;3.93591437632;A;Bed002.w.88
45;63;0.73146;42.3778515976;0.86809;0.91223;4.66478740897;A;Bed002.w.89
46;64;1.07797;14.1198658904;1.38178;0.97972;0.0503394324709;A;Bed002.w.90
47;65;0.68301;38.5819673438;0.35988;0.90852;0.381664424371;A;Bed002.w.92
48;66;0.96974;27.3892094297;0.83824;0.89774;0.999597301923;A;Bed002.w.93
49;67;1.19746;1.68152046875;0.30847;0.94094;0.381664424371;A;Bed002.w.94
50;68;0.82486;37.1031892778;1.00000;1.00000;6.99718111346;A;Bed002.w.97
51;69;0.95844;21.915527625;0.38210;1.00598;0.723530507805;A;Bed002.w.98
52;70;0.59655;41.9352907244;1.00000;1.04124;6.99718111346;A;Bed002.w.99
53;71;0.65826;43.1114015879;0.82992;0.87320;1.74929527837;A;Bed002.w.100
54;72;1.12368;11.6734218454;0.84211;1.08560;3.49859055673;A;Bed002.w.104
55;83;1.06739;31.6898479467;0.80233;0.99664;0.189845999202;A;Bed002.w.117
56;85;0.70133;24.8573467958;0.93605;0.91431;0.189845999202;A;Bed002.w.123
57;86;0.46154;41.7140036;0.87805;0.92487;5.2478858351;A;Bed002.w.125
58;87;0.91871;23.198022712;1.00000;1.00000;6.99718111346;A;Bed002.w.126
59;88;1.54102;68.6496593472;0.93839;1.13046;4.66478740897;A;Bed002.w.130
60;89;1.13112;35.8705506925;0.91645;1.06767;1.78997656391;A;Bed002.w.131
61;90;1.00864;35.7494202353;0.63927;1.03312;1.99919460385;A;Bed002.w.132
