,Unnamed: 0,segID,StartTimeA,EndTimeA,StartTimeB,EndTimeB,f0_means,f0_stds,pause,speakerChange,id,similarity
0,0,Bro012.segment.2,1.111,1.371,1.547,4.36,['1.24614'],['29.427717'],0.1759999999999999,True,Bro012.segment.2,[[0.70338416]]
1,0,Bro012.segment.4,1.547,4.36,3.36,9.55,[],[],-1.0000000000000004,True,Bro012.segment.4,[[0.36201683]]
2,0,Bro012.segment.5,3.36,9.55,9.22,10.03,[],[],-0.33,True,Bro012.segment.5,[[0.37671405]]
3,0,Bro012.segment.7,10.03,19.07,19.2,24.079,[],[],0.129999999999999,False,Bro012.segment.7,[[0.36285612]]
4,0,Bro012.segment.8,19.2,24.079,19.85,21.11,[],[],-4.228999999999999,True,Bro012.segment.8,[[0.2450989]]
5,0,Bro012.segment.10,24.18,33.75,33.801,34.596,"['1.05640', '1.05888', '0.84670', '0.58467', '0.56633', '0.89815', '0.89383', '0.29090', '0.00000', '0.64410', '0.96020', '1.31980', '1.30308', '0.93177', '1.09167', '1.27585', '0.95977', '0.82156', '0.91227', '0.68006', '1.13291', '0.93487', '1.29264', '0.88673', '0.80117', '1.23656', '1.24324', '1.19424', '1.20009', '0.91992', '1.17181', '1.13125', '0.75696']","['19.2730421811', '21.3880995374', '33.7357117355', '43.2252229619', '44.04093067', '21.6970484375', '37.4456807682', '29.0334167751', '0.0', '36.7288150651', '35.8748787889', '4.9139587249', '38.8021632711', '42.7551253099', '29.4004454603', '1.18407258333', '36.5355600533', '46.46447024', '35.3407063437', '44.6430925306', '19.5909041296', '30.6677821686', '4.25751396694', '31.5136753356', '39.9804024083', '0.95855277551', '2.41539822222', '3.1162384142', '2.16530565289', '33.1998881224', '0.357500648437', '11.4248840918', '37.7745851419']",0.0510000000000019,False,Bro012.segment.10,[[0.10001749]]
6,0,Bro012.segment.13,34.127,34.307,34.596,39.674,['0.56760'],['55.648609375'],0.2889999999999944,True,Bro012.segment.13,[[0.43659043]]
7,0,Bro012.segment.14,34.596,39.674,35.577,37.28,[],[],-4.097000000000001,True,Bro012.segment.14,[[0.48649564]]
8,0,Bro012.segment.20,40.159,41.739,41.799,42.669,"['1.11081', '1.30671', '1.37643', '0.98401']","['29.9158105397', '0.659844040816', '5.15599609', '35.3808991553']",0.0600000000000022,False,Bro012.segment.20,[[0.40138435]]
9,0,Bro012.segment.21,41.799,42.669,42.714,43.943,"['0.68315', '1.00756', '0.67658', '1.03847']","['48.295401', '32.71144642', '39.3902714325', '28.2365326036']",0.0450000000000017,False,Bro012.segment.21,[[0.7201449]]
10,0,Bro012.segment.22,42.714,43.943,43.943,50.159,[],[],0.0,False,Bro012.segment.22,[[0.27018285]]
11,0,Bro012.segment.23,43.943,50.159,50.159,51.29,[],[],0.0,False,Bro012.segment.23,[[0.26087925]]
12,0,Bro012.segment.24,50.159,51.29,50.3,51.56,[],[],-0.990000000000002,True,Bro012.segment.24,[[0.58420074]]
13,0,Bro012.segment.26,51.29,53.59,52.79,54.07,[],[],-0.8000000000000043,True,Bro012.segment.26,[[0.5594237]]
14,0,Bro012.segment.28,54.77,55.13,55.78,56.01,['0.93122'],['21.4244226923'],0.6499999999999986,False,Bro012.segment.28,[[0.9598431]]
15,0,Bro012.segment.30,55.78,56.01,57.19,58.937,['0.97567'],['27.1782550247'],1.1799999999999995,False,Bro012.segment.30,[[0.548205]]
16,0,Bro012.segment.32,59.147,62.217,62.262,69.002,"['0.66254', '1.09915', '1.10922', '1.30193', '1.27538', '0.81320', '1.16158', '0.73688', '0.62730', '1.05781']","['41.6340676543', '8.3827947', '26.1389334074', '0.35480696', '4.26005749112', '38.3265668', '10.9490949867', '41.4976425512', '43.2026022904', '22.2975727704']",0.0450000000000017,False,Bro012.segment.32,[[0.3546103]]
17,0,Bro012.segment.33,62.262,69.002,69.002,69.725,"['0.96964', '1.02380', '1.24702', '0.90199', '0.77279', '1.17676', '1.09589', '1.14355', '0.97959', '0.99592', '1.23799', '1.15859', '1.04327', '0.67269', '1.00550', '0.98254', '0.68822', '1.10894', '1.38559', '0.81965', '0.90389', '1.46445', '0.95833', '0.82917', '1.28802', '1.16883', '1.02498', '1.03578', '0.73417', '0.36147', '0.94147', '0.86150', '0.68505', '1.15212', '1.26396', '1.26790', '1.25131', '1.26640', '0.96982', '1.05640', '1.05888', '0.84670', '0.58467', '0.56633', '0.89815', '0.89383', '0.29090', '0.00000', '0.64410', '0.96020', '1.31980', '1.30308', '0.93177', '1.09167', '1.27585', '0.95977', '0.82156', '0.91227', '0.68006', '1.13291', '0.93487', '1.29264', '0.88673', '0.80117', '1.23656', '1.24324', '1.19424', '1.20009', '0.91992', '1.17181', '1.13125', '0.75696', '0.63882', '0.71482', '0.77118', '1.31348', '1.32559', '0.95571', '1.05988', '1.36947', '0.94215', '1.06731', '1.09534', '1.33367', '1.28991', '1.30125', '1.24197', '1.25455', '1.11081', '1.30671', '1.37643', '0.98401', '0.68315', '1.00756', '0.67658', '1.03847', '1.04924', '1.31435', '0.76525', '0.63796', '0.86289', '0.90954', '1.33567', '0.98834', '1.14937', '1.30966', '1.41649', '0.89034', '1.26718', '1.25980', '0.54527', '0.93983', '1.16896', '1.22275', '1.02339', '1.14160', '1.18429', '1.07837', '0.70092', '0.66325', '0.93122', '0.97567', '0.66254', '1.09915', '1.10922', '1.30193', '1.27538', '0.81320', '1.16158', '0.73688', '0.62730', '1.05781', '0.91064', '0.63667', '0.35893', '0.79032', '1.02301', '1.08194', '0.68026', '1.30190', '1.39050', '1.35490', '1.07320', '0.78240', '1.25174', '0.78174', '0.72941', '0.64956', '0.86378', '0.84644', '1.22148', '0.69460', '0.61642', '0.75757', '0.72893', '0.93222', '0.98416']","['39.9871621042', '36.1891356563', '18.3329309822', '45.0116586436', '49.7304580828', '23.7689782245', '27.3585384687', '27.8771239358', '43.2828941797', '39.6247252397', '15.9127623306', '17.2188124391', '23.2373204198', '47.55586735', '35.542111375', '28.92335194', '43.3892382378', '27.9990234694', '8.90780504', '46.3563378667', '51.12081704', '4.07635215111', '41.239140518', '43.1927685485', '8.33588395041', '28.0054071111', '36.3730584142', '35.49211152', '44.9467767278', '36.2018989097', '40.2355095087', '36.0877734931', '32.286766963', '5.60240563636', '1.88101725', '2.28691573964', '0.332605375', '1.89239123611', '32.2643694394', '19.2730421811', '21.3880995374', '33.7357117355', '43.2252229619', '44.04093067', '21.6970484375', '37.4456807682', '29.0334167751', '0.0', '36.7288150651', '35.8748787889', '4.9139587249', '38.8021632711', '42.7551253099', '29.4004454603', '1.18407258333', '36.5355600533', '46.46447024', '35.3407063437', '44.6430925306', '19.5909041296', '30.6677821686', '4.25751396694', '31.5136753356', '39.9804024083', '0.95855277551', '2.41539822222', '3.1162384142', '2.16530565289', '33.1998881224', '0.357500648437', '11.4248840918', '37.7745851419', '45.1614193889', '56.1495699383', '52.9882872778', '14.187727', '14.2503706667', '18.0165506667', '29.4766164082', '4.0577923125', '41.4927374863', '28.6213645185', '30.974180304', '1.47157844', '3.48233952041', '5.14865597959', '22.2040871864', '0.416956666667', '29.9158105397', '0.659844040816', '5.15599609', '35.3808991553', '48.295401', '32.71144642', '39.3902714325', '28.2365326036', '27.4141716457', '3.2373991', '43.2798981867', '45.1009513', '34.8585631293', '25.7200732', '4.71620422449', '27.3257854152', '22.4708113306', '3.088416', '5.60750419048', '40.0548252335', '0.147216198347', '0.276448', '43.6007429832', '25.9648718585', '4.65929142222', '3.19200097959', '36.1745859', '17.2941147245', '8.40653005785', '15.0101980237', '44.596962495', '43.1594406465', '21.4244226923', '27.1782550247', '41.6340676543', '8.3827947', '26.1389334074', '0.35480696', '4.26005749112', '38.3265668', '10.9490949867', '41.4976425512', '43.2026022904', '22.2975727704', '40.6600458615', '44.4602895', '37.0867001864', '37.2479248889', '27.6447115039', '39.9070809074', '45.2626438754', '0.0113076734694', '9.34315628028', '7.12700595', '23.3448184142', '44.24980684', '1.36939495111', '36.8434899444', '39.2882246531', '41.7466590083', '34.8943467143', '39.8932343333', '1.3945884375', '39.5341960612', '43.5779243', '38.950651438', '44.9251978028', '35.1487020267', '25.3002573884']",0.0,False,Bro012.segment.33,[[0.26727226]]
18,0,Bro012.segment.35,69.765,77.735,71.3,74.06,"['0.77709', '1.21269', '1.18392', '1.19771', '1.19991', '1.09323', '0.94765', '1.06997', '1.10131', '1.28289', '0.65861', '0.97028', '1.05048', '1.18906', '1.06987', '0.76856', '0.79099', '0.86244', '1.15518', '0.50852', '0.84536', '0.36990', '0.51693', '1.23772', '1.18816', '0.89130']","['41.2026235313', '1.34034662722', '0.231647355372', '1.1438807438', '1.99604167347', '12.6603395625', '29.1280978072', '19.7096052267', '25.9525001111', '3.62734195014', '38.8008960417', '22.4629917109', '18.7076520415', '3.570043375', '13.5593841391', '41.3973815873', '46.0511115986', '37.6910809124', '6.55930907101', '38.7154157633', '37.7453347479', '36.61054362', '43.85351992', '1.49291827682', '10.4771063333', '39.177719605']",-6.435000000000002,True,Bro012.segment.35,[[0.25639933]]
19,0,Bro012.segment.37,78.97,80.531,80.531,81.471,"['0.90199', '0.77279', '1.17676', '1.09589', '1.14355', '0.97959', '0.99592', '1.23799', '1.15859', '1.04327', '0.67269', '1.00550', '0.98254', '0.68822', '1.10894', '1.38559', '0.81965', '0.90389', '1.46445', '0.95833', '0.82917', '1.28802', '1.16883', '1.02498', '1.03578', '0.73417', '0.36147', '0.94147', '0.86150', '0.68505', '1.15212', '1.26396', '1.26790', '1.25131', '1.26640', '0.96982', '1.05640', '1.05888', '0.84670', '0.58467', '0.56633', '0.89815', '0.89383', '0.29090', '0.00000', '0.64410', '0.96020', '1.31980', '1.30308', '0.93177', '1.09167', '1.27585', '0.95977', '0.82156', '0.91227', '0.68006', '1.13291', '0.93487', '1.29264', '0.88673', '0.80117', '1.23656', '1.24324', '1.19424', '1.20009', '0.91992', '1.17181', '1.13125', '0.75696', '0.63882', '0.71482', '0.77118', '1.31348', '1.32559', '0.95571', '1.05988', '1.36947', '0.94215', '1.06731', '1.09534', '1.33367', '1.28991', '1.30125', '1.24197', '1.25455', '1.11081', '1.30671', '1.37643', '0.98401', '0.68315', '1.00756', '0.67658', '1.03847', '1.04924', '1.31435', '0.76525', '0.63796', '0.86289', '0.90954', '1.33567', '0.98834', '1.14937', '1.30966', '1.41649', '0.89034', '1.26718', '1.25980', '0.54527', '0.93983', '1.16896', '1.22275', '1.02339', '1.14160', '1.18429', '1.07837', '0.70092', '0.66325', '0.93122', '0.97567', '0.66254', '1.09915', '1.10922', '1.30193', '1.27538', '0.81320', '1.16158', '0.73688', '0.62730', '1.05781', '0.91064', '0.63667', '0.35893', '0.79032', '1.02301', '1.08194', '0.68026', '1.30190', '1.39050', '1.35490', '1.07320', '0.78240', '1.25174', '0.78174', '0.72941', '0.64956', '0.86378', '0.84644', '1.22148', '0.69460', '0.61642', '0.75757', '0.72893', '0.93222', '0.98416', '0.77709', '1.21269', '1.18392', '1.19771', '1.19991', '1.09323', '0.94765', '1.06997', '1.10131', '1.28289', '0.65861', '0.97028', '1.05048', '1.18906', '1.06987', '0.76856', '0.79099', '0.86244', '1.15518', '0.50852', '0.84536', '0.36990', '0.51693', '1.23772', '1.18816', '0.89130', '0.84193', '1.12203']","['45.0116586436', '49.7304580828', '23.7689782245', '27.3585384687', '27.8771239358', '43.2828941797', '39.6247252397', '15.9127623306', '17.2188124391', '23.2373204198', '47.55586735', '35.542111375', '28.92335194', '43.3892382378', '27.9990234694', '8.90780504', '46.3563378667', '51.12081704', '4.07635215111', '41.239140518', '43.1927685485', '8.33588395041', '28.0054071111', '36.3730584142', '35.49211152', '44.9467767278', '36.2018989097', '40.2355095087', '36.0877734931', '32.286766963', '5.60240563636', '1.88101725', '2.28691573964', '0.332605375', '1.89239123611', '32.2643694394', '19.2730421811', '21.3880995374', '33.7357117355', '43.2252229619', '44.04093067', '21.6970484375', '37.4456807682', '29.0334167751', '0.0', '36.7288150651', '35.8748787889', '4.9139587249', '38.8021632711', '42.7551253099', '29.4004454603', '1.18407258333', '36.5355600533', '46.46447024', '35.3407063437', '44.6430925306', '19.5909041296', '30.6677821686', '4.25751396694', '31.5136753356', '39.9804024083', '0.95855277551', '2.41539822222', '3.1162384142', '2.16530565289', '33.1998881224', '0.357500648437', '11.4248840918', '37.7745851419', '45.1614193889', '56.1495699383', '52.9882872778', '14.187727', '14.2503706667', '18.0165506667', '29.4766164082', '4.0577923125', '41.4927374863', '28.6213645185', '30.974180304', '1.47157844', '3.48233952041', '5.14865597959', '22.2040871864', '0.416956666667', '29.9158105397', '0.659844040816', '5.15599609', '35.3808991553', '48.295401', '32.71144642', '39.3902714325', '28.2365326036', '27.4141716457', '3.2373991', '43.2798981867', '45.1009513', '34.8585631293', '25.7200732', '4.71620422449', '27.3257854152', '22.4708113306', '3.088416', '5.60750419048', '40.0548252335', '0.147216198347', '0.276448', '43.6007429832', '25.9648718585', '4.65929142222', '3.19200097959', '36.1745859', '17.2941147245', '8.40653005785', '15.0101980237', '44.596962495', '43.1594406465', '21.4244226923', '27.1782550247', '41.6340676543', '8.3827947', '26.1389334074', '0.35480696', '4.26005749112', '38.3265668', '10.9490949867', '41.4976425512', '43.2026022904', '22.2975727704', '40.6600458615', '44.4602895', '37.0867001864', '37.2479248889', '27.6447115039', '39.9070809074', '45.2626438754', '0.0113076734694', '9.34315628028', '7.12700595', '23.3448184142', '44.24980684', '1.36939495111', '36.8434899444', '39.2882246531', '41.7466590083', '34.8943467143', '39.8932343333', '1.3945884375', '39.5341960612', '43.5779243', '38.950651438', '44.9251978028', '35.1487020267', '25.3002573884', '41.2026235313', '1.34034662722', '0.231647355372', '1.1438807438', '1.99604167347', '12.6603395625', '29.1280978072', '19.7096052267', '25.9525001111', '3.62734195014', '38.8008960417', '22.4629917109', '18.7076520415', '3.570043375', '13.5593841391', '41.3973815873', '46.0511115986', '37.6910809124', '6.55930907101', '38.7154157633', '37.7453347479', '36.61054362', '43.85351992', '1.49291827682', '10.4771063333', '39.177719605', '38.4003284079', '17.6272972593']",0.0,False,Bro012.segment.37,[[0.8799561]]
20,0,Bro012.segment.38,80.531,81.471,81.511,89.921,[],[],0.039999999999992,False,Bro012.segment.38,[[0.18104188]]
