segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_means;f0_stds;pause;speakerChange;similarity;boundary
Bed017.segment.3;10.99;11.42;11.417;13.129;['0.90350'];['86.1907870552'];-0.0030000000000001;True;[[0.598359]];0.0
Bed017.segment.4;11.417;13.129;11.85;12.61;[];[];-1.279;True;[[0.7917142]];0.0
Bed017.segment.5;11.85;12.61;12.6;14.73;['1.14402'];['87.7967010584'];-0.0099999999999997;True;[[0.31970727]];0.0
Bed017.segment.6;12.6;14.73;13.221;15.087;['0.00000', '0.00000', '0.62080', '0.49506', '0.00000', '0.00000', '0.34586', '0.91337', '0.64712', '1.58659', '1.85870'];['0.0', '0.0', '64.98075575', '58.40373856', '0.0', '0.0', '59.6278176747', '83.8089125078', '81.28309752', '34.9626520776', '17.0750272308'];-1.5090000000000003;True;[[0.58880466]];0.0
Bed017.segment.8;14.89;18.26;16.22;17.79;['1.19860', '0.95476', '1.32660', '1.31075', '1.20001', '1.01557', '1.31214', '0.89471', '0.49172', '1.12933', '1.10660', '0.83629', '1.79444', '1.45206', '1.29651', '1.41855', '1.26263', '0.95275'];['6.075357375', '26.5790598817', '10.2723974444', '7.88291953125', '6.36512833333', '23.7980261429', '54.6952646', '45.5901280139', '60.4935264375', '77.1860709722', '28.0591196389', '87.2955240992', '49.5743351667', '7.8761645', '9.86560128571', '40.9274120277', '77.0343606205', '19.5353675208'];-2.0400000000000027;True;[[0.26860648]];0.0
Bed017.segment.9;16.22;17.79;17.879;19.659;['1.50960', '1.75772', '0.64551', '2.04313', '1.23802', '1.44825'];['52.0472737', '27.9881273086', '84.459318125', '3.08783801183', '84.5907566939', '87.8506572083'];0.0890000000000021;True;[[0.5368414]];0.0
Bed017.segment.10;17.879;19.659;19.659;27.531;[];[];0.0;False;[[0.4547944]];0.0
Bed017.segment.11;19.659;27.531;20.413;20.633;[];[];-7.117999999999999;True;[[0.4419815]];0.0
Bed017.segment.12;20.413;20.633;20.56;22.43;['0.31378'];['53.464573037'];-0.0730000000000004;True;[[0.2546869]];0.0
Bed017.segment.13;20.56;22.43;22.56;24.71;['1.85807', '2.18363', '1.51446', '1.32083', '1.14506', '1.19001', '1.08407', '0.33384'];['43.2197909877', '5.82459508333', '90.5841587755', '99.5995149592', '106.539409909', '87.5298715223', '45.67087488', '31.44986919'];0.129999999999999;True;[[0.26598784]];0.0
