segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_means;f0_stds;pause;speakerChange;similarity;boundary
Bmr021.segment.1;0.04;0.74;0.12;2.76;['0.00000', '0.94506'];['0.0', '51.0722182932'];-0.62;True;[[0.37528458]];0.0
Bmr021.segment.2;0.12;2.76;0.57;0.92;['1.09204', '0.00000', '0.00000', '0.94774', '1.43895', '0.98181', '1.26318', '0.93416'];['15.0544784167', '0.0', '0.0', '57.9705914201', '9.77761034', '42.5507602667', '32.849066', '39.3987027297'];-2.19;True;[[0.48528078]];0.0
Bmr021.segment.3;0.57;0.92;1.375;4.04;['1.50382'];['26.9047088097'];0.4549999999999999;True;[[0.5549962]];0.0
Bmr021.segment.4;1.375;4.04;2.15;4.2;[];[];-1.89;True;[[0.6084633]];0.0
Bmr021.segment.5;2.15;4.2;3.277;5.707;[];[];-0.923;True;[[0.42931908]];0.0
Bmr021.segment.6;3.277;5.707;5.97;6.7;['0.78851', '1.29663', '1.50025', '1.22906', '0.60023', '1.10067', '0.69337'];['46.959154349', '6.68715066667', '10.6011100156', '38.6924286', '40.4269157823', '9.8171305', '35.117648'];0.2629999999999999;True;[[0.6046376]];0.0
Bmr021.segment.7;5.97;6.7;6.157;7.687;[];[];-0.5430000000000001;True;[[0.47623914]];0.0
Bmr021.segment.8;6.157;7.687;7.907;15.297;['0.99137', '1.32933', '0.95397', '2.46000', '2.09049', '1.67670', '1.09984', '1.35456', '1.25938', '0.93968'];['76.4835070413', '70.5078808125', '83.0343301302', '13.52243424', '18.8582025', '9.44389822222', '38.94993534', '4.40291478458', '3.9022988', '41.9711838116'];0.2199999999999997;False;[[0.28957456]];1.0
Bmr021.segment.9;7.907;15.297;16.037;20.087;['1.15485', '1.54353', '1.53702', '1.68084', '2.21806', '2.21542', '1.73281', '0.94699', '0.55799', '1.18867', '1.61997', '0.39100', '0.87927', '1.53460', '0.72249', '0.72254', '0.35905', '0.81816', '1.27662', '1.73451', '1.71074', '1.57199', '1.49093', '1.44472', '1.29779', '0.69265'];['24.0899349865', '36.3862585556', '35.5590312665', '11.4392033152', '22.9846835424', '10.2240588889', '44.592030321', '61.1265837', '52.6149184889', '50.43784116', '6.07672115571', '40.5555056622', '60.1767111134', '2.54124411111', '51.0944136667', '49.4502295005', '31.6218841563', '57.8602791875', '45.2072258437', '6.61752214286', '5.135519', '3.47623654545', '1.87171319111', '1.60878775148', '6.8888145', '44.4185600041'];0.7399999999999984;False;[[0.38467824]];0.0
Bmr021.segment.10;16.037;20.087;19.946;21.245;['0.96913', '1.28638', '1.26882', '0.98372', '0.88105', '1.53879', '1.03004', '0.60329', '1.10574', '0.74651', '1.34770'];['37.8136273199', '1.90855913422', '5.24703338889', '43.812528875', '56.643511281', '25.6056696332', '46.7135183669', '42.664998625', '47.0702228611', '49.0431868311', '4.8903117'];-0.1409999999999982;True;[[0.31977755]];0.0
Bmr021.segment.12;20.6;21.58;20.84;27.67;[];[];-0.7399999999999984;True;[[0.36132455]];0.0
Bmr021.segment.13;20.84;27.67;21.296;22.86;['1.31081', '1.70257', '0.52924', '1.11811', '1.62525', '0.94233', '1.32593', '1.34579', '0.85813', '1.09066', '1.34101', '1.24603', '0.69381', '0.69130', '0.81087', '0.63973', '0.75028', '0.51470', '1.61724', '1.45608', '1.00091', '0.75890', '0.47377'];['7.35577556667', '8.93767246528', '47.6357960716', '63.2586344533', '19.952325481', '48.4668846942', '35.431778625', '41.7880517857', '48.54961608', '28.9244617266', '1.1539955', '12.2623901667', '36.7996929141', '47.0781682936', '52.1318687603', '48.7218735976', '63.67176678', '48.5330066667', '6.55895606049', '4.0336623', '32.6699792308', '50.512590782', '42.1920019753'];-6.374000000000002;True;[[0.3492151]];0.0
Bmr021.segment.14;21.296;22.86;22.9;23.26;[];[];0.0399999999999991;True;[[0.69888747]];0.0
Bmr021.segment.15;22.9;23.26;24.51;24.97;['0.70252', '0.92595'];['98.3903808889', '92.6297775057'];1.25;False;[[0.9543479]];0.0
Bmr021.segment.16;24.51;24.97;27.86;29.69;['1.62205', '2.17147', '1.74581', '0.73864'];['75.7241542716', '3.05434322222', '67.8142848264', '50.3179612687'];2.890000000000001;True;[[0.25720686]];0.0
