segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_means;f0_stds;pause;speakerChange;similarity;boundary
Btr001.segment.2;0.539;1.56;1.33;1.56;[];[];-0.2299999999999999;True;[[0.89199704]];0.0
Btr001.segment.3;1.33;1.56;2.639;3.9;[];[];1.0789999999999995;True;[[0.54715234]];0.0
Btr001.segment.5;2.639;3.9;3.864;6.134;[];[];-0.036;True;[[0.6026975]];0.0
Btr001.segment.6;3.864;6.134;7.39;8.18;['1.12259', '0.83041', '1.00498', '1.68795', '1.17244', '1.61471', '1.28247', '0.55685'];['116.93641484', '62.1930210744', '112.7675642', '64.7012387578', '91.0849723599', '6.55396969444', '53.4358876928', '96.1843257172'];1.2559999999999991;False;[[0.58545834]];0.0
Btr001.segment.10;9.713;10.993;9.99;10.45;['0.86337', '0.88026', '1.45809', '0.97254'];['89.93420176', '85.9628870625', '15.428325321', '95.0387881224'];-1.003;True;[[0.39515424]];0.0
Btr001.segment.14;15.864;20.044;19.04;19.5;['1.06045', '0.61828', '0.00000', '1.08015', '1.23314', '1.73230', '1.43678', '1.30315', '1.17884', '1.46970', '1.25811', '1.32884', '1.53095', '1.61522', '1.27820', '1.19743'];['110.463122507', '102.461433512', '0.0', '112.515034987', '85.6341856356', '0.468540653061', '27.5924420623', '30.1463113961', '69.7701421488', '3.94038371429', '40.0510617156', '62.9452716672', '13.7981796686', '8.0942358125', '42.8563877284', '64.0789206364'];-1.0040000000000011;True;[[0.4329527]];0.0
Btr001.segment.18;20.18;21.017;21.478;22.0;[];[];0.4610000000000021;True;[[0.5488715]];0.0
Btr001.segment.21;22.14;23.82;24.67;27.27;['1.24621', '1.63805', '1.60316', '1.08770', '0.82371', '0.04934'];['72.118345679', '2.18098883951', '4.28969172781', '75.5346527822', '134.067142031', '12.0933411211'];0.8500000000000014;False;[[0.3191833]];0.0
Btr001.segment.22;24.67;27.27;26.304;28.852;['1.08736', '1.56132', '1.73233', '1.61305', '0.56431', '1.11248', '0.83749', '0.79253', '0.81197', '0.51453', '1.23401', '0.56336'];['103.646230066', '44.7712004628', '7.585163', '6.00485008264', '93.5170770661', '126.747058977', '121.163609877', '103.193582', '111.28997036', '83.7454390625', '47.63946696', '87.538800128'];-0.9660000000000012;True;[[0.4099849]];0.0
Btr001.segment.23;26.304;28.852;28.464;30.774;[];[];-0.3880000000000017;True;[[0.5089647]];0.0
Btr001.segment.24;28.464;30.774;28.577;30.727;['0.54081', '0.30894', '1.04556', '0.13911', '0.62893', '0.36314', '0.03793', '0.42837', '0.00000', '0.77520', '0.66696', '1.53864', '0.88552'];['101.40249289', '64.36259264', '87.5188544235', '27.5318134432', '2.94063', '33.2362526667', '8.64372665625', '83.6651245312', '0.0', '100.936966929', '106.884515598', '71.712080562', '114.99473134'];-2.196999999999999;True;[[0.3228247]];0.0
Btr001.segment.25;28.577;30.727;30.44;31.76;['0.40144', '1.69868', '1.75059', '1.77834', '1.36824', '1.44504', '0.86643', '1.35207'];['85.9155051973', '4.47173491667', '2.378078', '8.9855494321', '85.0663726327', '86.9803269184', '130.381127258', '91.6471112143'];-0.286999999999999;True;[[0.6167139]];0.0
Btr001.segment.26;30.44;31.76;31.056;33.414;['1.32357', '1.35691', '1.58580', '1.49709', '1.45197', '0.98705', '0.13308', '0.97010'];['74.7426052803', '69.9005660417', '2.37174716049', '5.725452', '2.84794374219', '94.1168272222', '35.1412873846', '113.52411595'];-0.7040000000000006;True;[[0.62137675]];0.0
Btr001.segment.28;31.471;31.911;35.801;36.221;['1.06633'];['108.920039868'];3.890000000000001;True;[[0.9136925]];0.0
Btr001.segment.30;35.801;36.221;35.872;36.152;['0.54029'];['96.2687151191'];-0.3489999999999966;True;[[0.89021766]];0.0
Btr001.segment.31;35.872;36.152;37.03;40.315;[];[];0.8780000000000001;True;[[0.6186474]];0.0
