segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff;f0_stds_means
Bed002.segment.1;5.79;6.2;6.393;7.043;0.1929999999999996;True;0.80745196;0.0;-0.7825500000000001;-0.40845;27.480682641985002
Bed002.segment.2;6.393;7.043;10.383;12.373;3.339999999999999;False;0.54926735;0.0;0.8211600000000001;0.3741000000000001;11.8302375346
Bed002.segment.3;10.383;12.373;12.573;13.723;0.200000000000001;False;0.7473101;0.0;1.13945;0.13945;24.208147190620203
Bed002.segment.4;12.573;13.723;12.822;14.542;-0.9010000000000016;True;0.4641241;0.0;0.52503;-0.12456;10.89639390684325
Bed002.segment.5;12.822;14.542;14.655;16.18;0.1129999999999995;True;0.44520015;0.0;-0.4585299999999999;-0.1462799999999999;39.528165772375004
Bed002.segment.10;18.289;22.839;23.825;25.291;0.9860000000000008;True;0.5460068;0.0;0.0;-0.5255099999999999;23.953466149155787
Bed002.segment.11;23.825;25.291;25.291;28.575;0.0;False;0.5049164;0.0;0.0;0.0;0.0
Bed002.segment.12;25.291;28.575;26.31;27.481;-2.265000000000001;True;0.8408128;0.0;0.0;0.0;0.0
Bed002.segment.13;26.417;26.557;27.481;30.35;0.924000000000003;True;0.7497459;0.0;0.0;-0.12733;39.86073725
Bed002.segment.15;27.481;30.35;31.379;35.529;1.029;True;0.3277157;0.0;0.0;0.0;0.0
Bed002.segment.16;31.379;35.529;35.493;37.013;-0.0360000000000013;True;0.6380693;0.0;0.7842800000000001;0.12368;21.5106441094475
Bed002.segment.17;35.493;37.013;37.281;37.461;0.2680000000000007;True;0.21369824;0.0;-0.5695800000000001;-0.50219;29.741166356590004
Bed002.segment.18;37.281;37.461;37.84;38.18;0.3790000000000049;True;0.6516583;0.0;0.8192600000000001;0.06739;31.6898479467
Bed002.segment.19;37.84;38.18;38.142;43.61;-0.0379999999999967;True;0.2478283;0.0;0.0;-0.75187;26.58938976
Bed002.segment.20;38.142;43.61;43.423;44.579;-0.1869999999999976;True;0.5464119;0.0;0.0;0.0;0.0
Bed002.segment.22;45.328;46.928;46.327;47.957;-0.6009999999999991;True;0.57208854;0.0;-0.6816300000000002;-0.5126200000000001;13.71914649837111
Bed002.segment.23;46.327;47.957;48.2;53.13;0.2430000000000021;True;0.38484514;0.0;-0.4234799999999999;-0.5996;34.12179386616
Bed002.segment.24;48.2;53.13;50.16;51.18;-2.970000000000006;True;0.2502094;0.0;0.0;0.1082099999999999;35.017496210893526
Bed002.segment.25;50.16;51.18;52.894;53.284;1.7139999999999986;False;0.650792;0.0;0.0;0.0;0.0
Bed002.segment.26;52.894;53.284;53.284;54.544;0.0;False;0.57039285;0.0;0.4480299999999999;0.6794899999999999;10.2150980473
Bed002.segment.27;53.284;54.544;54.614;56.664;0.0700000000000002;False;0.64050853;0.0;-0.3067499999999998;0.02306;27.10988155348
Bed002.segment.28;54.614;56.664;57.194;58.204;0.5300000000000011;True;0.49346083;0.0;-0.1319999999999999;-0.3883799999999999;23.929879864553335
Bed002.segment.29;57.194;58.204;58.07;58.26;-0.1340000000000003;True;0.7949122;0.0;-0.09221;-0.1992;38.905673864375004
Bed002.segment.30;58.07;58.26;58.903;59.233;0.6430000000000007;True;0.9473535;0.0;-0.1832099999999999;-0.10699;47.3443683516
Bed002.segment.31;58.903;59.233;59.393;62.353;0.1600000000000037;False;0.47141892;0.0;0.42479;0.0762199999999999;20.3628150528
Bed002.segment.32;59.393;62.353;59.72;60.557;-2.6330000000000027;True;0.45053238;0.0;0.0;-0.18316;34.53517421083076
Bed002.segment.33;59.72;60.557;62.653;66.443;2.0959999999999965;True;0.3186612;0.0;0.0;0.0;0.0
Bed002.segment.34;62.653;66.443;66.443;68.423;0.0;False;0.35332948;0.0;1.04716;0.04716;26.51755042716
Bed002.segment.35;66.443;68.423;68.423;71.973;0.0;False;0.67311794;0.0;0.2002;0.17073;18.86548128121857
Bed002.segment.36;68.423;71.973;72.444;79.404;0.4710000000000036;False;0.6928664;0.0;-0.2839;-0.2463999999999999;25.63287968956077
Bed002.segment.37;72.444;79.404;81.14;83.783;1.7360000000000042;False;0.15498285;0.0;0.0;-0.34917;28.584006121477756
Bed002.segment.38;81.14;83.783;88.19;90.59;4.4069999999999965;False;0.39789757;0.0;0.0;0.0;0.0
Bed002.segment.39;88.19;90.59;90.59;91.91;0.0;False;0.47030887;0.0;0.0;0.0;0.0
Bed002.segment.40;90.59;91.91;93.44;95.02;1.5300000000000011;True;0.6980177;0.0;-0.2229999999999999;-0.31804;39.0826229902
Bed002.segment.41;93.44;95.02;95.046;95.635;0.0260000000000104;True;0.7060421;0.0;0.0;-0.4114;22.070396155751432
Bed002.segment.42;95.046;95.635;96.029;98.449;0.3939999999999912;False;0.31351084;0.0;0.0;0.0;0.0
Bed002.segment.43;96.029;98.449;98.892;102.235;0.4429999999999978;False;0.2561146;0.0;0.0;0.02838;10.028402361868
Bed002.segment.44;98.892;102.235;102.695;103.257;0.4599999999999937;False;0.57148725;0.0;0.0;0.0;0.0
Bed002.segment.46;102.695;103.257;103.628;105.037;0.3709999999999951;False;0.66731936;0.0;0.0;0.0;0.0
Bed002.segment.47;103.628;105.037;105.298;107.423;0.2609999999999957;False;0.78816265;0.0;0.0;0.0;0.0
Bed002.segment.48;105.298;107.423;107.804;108.865;0.3810000000000002;False;0.8192798;0.0;0.0;0.0;0.0
Bed002.segment.49;107.804;108.865;109.288;110.775;0.4230000000000018;False;0.88195384;0.0;0.0;0.0;0.0
Bed002.segment.50;109.288;110.775;110.775;112.813;0.0;False;0.8981998;0.0;0.0;0.0;0.0
Bed002.segment.51;110.775;112.813;113.041;113.794;0.2279999999999944;False;0.69274604;0.0;0.0;0.0;0.0
Bed002.segment.52;113.041;113.794;113.794;115.055;0.0;False;0.6685456;0.0;0.0;0.0;0.0
Bed002.segment.53;113.794;115.055;115.055;116.211;0.0;False;0.47665578;0.0;0.0;0.0;0.0
Bed002.segment.54;115.055;116.211;116.211;117.251;0.0;False;0.58129644;0.0;0.0;0.0;0.0
Bed002.segment.55;116.211;117.251;117.251;118.601;0.0;False;0.65687525;0.0;0.0;0.0;0.0
Bed002.segment.56;117.251;118.601;118.601;121.548;0.0;False;0.8699076;0.0;0.0;0.0;0.0
