segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff;f0_stds_means
Bmr019.segment.1;0.363;1.383;1.286;1.84;-0.0969999999999999;True;0.8821087;0.0;0.0;0.1881299999999999;14.4732112781
Bmr019.segment.3;1.622;2.631;2.344;4.924;-0.2869999999999999;True;0.22641385;0.0;0.0;0.0;0.0
Bmr019.segment.4;2.344;4.924;2.374;2.898;-2.5500000000000003;True;0.18962634;0.0;0.0;0.3874599999999999;19.044680651666
Bmr019.segment.6;2.374;2.898;2.514;2.884;-0.3840000000000003;True;0.821118;0.0;0.0;0.0;0.0
Bmr019.segment.5;2.514;2.884;3.502;3.872;0.6179999999999999;True;0.9462359;0.0;0.0;-1.0;0.0
Bmr019.segment.7;3.502;3.872;4.233;14.34;0.3609999999999997;True;0.9544158;0.0;-1.29668;-1.0;0.0
Bmr019.segment.9;6.29;6.53;6.488;7.121;-0.0419999999999998;True;1.0;0.0;1.29668;0.29668;22.745406338
Bmr019.segment.10;6.488;7.121;8.11;10.721;0.988999999999999;True;0.3998306;0.0;0.0;0.30258;20.8422107211
Bmr019.segment.12;8.11;10.721;9.692;12.551;-1.029;True;0.45076558;0.0;0.0;0.0;0.0
Bmr019.segment.13;9.692;12.551;11.723;13.523;-0.8279999999999994;True;0.41235706;0.0;0.24262;0.04044;27.388225420383755
Bmr019.segment.14;11.723;13.523;14.662;23.212;1.1390000000000011;False;0.24443655;0.0;0.4152700000000001;0.2421500000000001;38.64125681794167
Bmr019.segment.15;14.662;23.212;19.426;21.265;-3.786000000000002;True;0.16940281;0.0;0.0;-0.01453;42.1787478915709
Bmr019.segment.18;21.685;23.425;21.993;22.503;-1.4320000000000022;True;0.72948736;0.0;0.0;0.0;0.0
Bmr019.segment.19;21.993;22.503;23.425;25.72;0.9220000000000006;True;0.57955176;0.0;0.0;0.0;0.0
Bmr019.segment.20;23.425;25.72;24.432;32.697;-1.2880000000000005;True;0.42071232;0.0;0.0;0.0;0.0
Bmr019.segment.22;25.159;28.689;28.044;28.324;-0.6449999999999996;True;0.29900315;0.0;0.0;0.34558;31.790149262313577
Bmr019.segment.23;28.044;28.324;29.327;33.817;1.003;True;0.6888757;0.0;0.0;0.0;0.0
Bmr019.segment.24;29.327;33.817;34.427;35.547;0.6099999999999994;False;0.54038465;0.0;-0.2214899999999999;0.13097;32.24236865569833
Bmr019.segment.25;34.427;35.547;35.757;36.865;0.2100000000000008;False;0.66449213;0.0;0.0;0.0569699999999999;35.55947444022
Bmr019.segment.27;36.865;39.786;39.926;44.126;0.1400000000000005;False;0.16477224;0.0;0.0;0.0;0.0
Bmr019.segment.28;39.926;44.126;44.127;44.527;0.0010000000000047;True;-0.03224461;0.0;0.4067200000000001;0.03797;32.23772770321714
Bmr019.segment.29;44.127;44.527;44.19;45.524;-0.3370000000000033;True;0.961887;0.0;-0.07484;-0.36875;50.3109576599
Bmr019.segment.31;45.564;45.824;46.541;48.131;0.7169999999999987;False;0.59151906;0.0;-0.39407;-0.29391;45.559650576
Bmr019.segment.32;46.541;48.131;47.383;49.855;-0.7479999999999976;True;0.5011635;0.0;0.0;0.05783;19.366390673524002
Bmr019.segment.33;47.383;49.855;48.767;49.12;-1.087999999999994;True;0.5985242;0.0;0.0;0.0;0.0
Bmr019.segment.36;50.691;51.235;52.075;56.25;0.8400000000000034;True;0.35733488;0.0;0.0;0.0;0.0
Bmr019.segment.38;52.075;56.25;52.09;52.6;-4.159999999999997;True;0.3970161;0.0;0.0;0.0;0.0
Bmr019.segment.37;52.09;52.6;53.938;54.492;1.338000000000001;True;0.95675856;0.0;0.0;-0.0348899999999999;27.9876979784
Bmr019.segment.40;54.028;55.136;54.198;54.748;-0.9380000000000024;True;1.0;0.0;0.0;0.0;0.0
Bmr019.segment.41;54.198;54.748;54.976;55.411;0.2280000000000015;True;0.87408006;0.0;0.0;-0.25461;39.5253849695
Bmr019.segment.42;54.976;55.411;54.996;55.609;-0.4149999999999991;True;0.8424204;0.0;0.0;0.0;0.0
Bmr019.segment.46;56.436;59.14;57.65;62.107;-1.490000000000002;True;0.43007487;0.0;0.0;0.0;0.0
Bmr019.segment.47;57.65;62.107;59.14;61.408;-2.9669999999999987;True;0.48065567;0.0;0.0;-1.0;12.0598438127
Bmr019.segment.49;59.203;61.54;59.77;62.31;-1.769999999999996;True;0.67982495;0.0;0.0;0.0;0.0
Bmr019.segment.50;59.77;62.31;61.408;62.604;-0.902000000000001;True;0.6598954;0.0;0.0;0.0;0.0
Bmr019.segment.51;61.408;62.604;62.038;62.388;-0.5660000000000025;True;1.0;0.0;0.0;0.0;0.0
Bmr019.segment.52;62.038;62.388;62.664;69.234;0.2760000000000033;True;0.1303899;0.0;0.6678000000000001;0.2879;18.1281970592
Bmr019.segment.53;62.664;69.234;67.641;67.938;-1.592999999999989;True;0.1303899;0.0;0.1316199999999999;-0.06464;23.981606604745664
Bmr019.segment.56;69.143;69.323;69.286;70.863;-0.0369999999999919;True;0.8478098;0.0;-0.0611699999999999;-0.19626;2.50071434667
Bmr019.segment.57;69.286;70.863;69.93;70.24;-0.9329999999999928;True;0.8641156;0.0;-0.8917;-1.0;28.580919423988778
Bmr019.segment.58;69.93;70.24;70.069;72.71;-0.1709999999999922;True;0.46875602;0.0;-0.0372299999999999;-0.1082999999999999;48.5168072222
Bmr019.segment.59;70.069;72.71;70.441;71.094;-2.2689999999999912;True;0.47708198;0.0;-0.05146;-0.26414;33.674483205596296
Bmr019.segment.61;71.863;72.103;73.231;78.131;1.128;True;0.02890837;0.0;0.1951899999999999;-0.2126799999999999;55.8310192465
Bmr019.segment.62;73.231;78.131;78.155;80.95;0.0240000000000009;False;0.46200204;0.0;0.0;0.2745599999999999;44.25449008915825
Bmr019.segment.63;78.155;80.95;80.112;89.532;-0.8380000000000081;True;0.31449473;0.0;0.0;0.0;0.0
Bmr019.segment.65;80.838;83.796;81.36;87.58;-2.436000000000007;True;0.5661051;0.0;0.0;0.0;0.0
Bmr019.segment.66;81.36;87.58;84.81;85.28;-2.769999999999996;True;0.11922935;0.0;-0.4038599999999999;-0.5313399999999999;37.354087221190554
Bmr019.segment.67;84.81;85.28;87.63;87.92;2.3499999999999943;False;0.9491199;0.0;0.0;-0.6660699999999999;65.10413123635
Bmr019.segment.68;87.63;87.92;87.673;88.516;-0.2469999999999999;True;0.98048264;0.0;0.0;0.0;0.0
Bmr019.segment.70;87.723;88.534;88.04;94.59;-0.4939999999999998;True;0.00080427;0.0;0.50566;0.04634;28.062969972346785
Bmr019.segment.71;88.04;94.59;92.052;92.612;-2.5379999999999967;True;0.4191969;0.0;0.1978499999999999;-0.07632;24.228512805297495
Bmr019.segment.72;92.052;92.612;92.866;94.949;0.2540000000000049;True;0.32152593;0.0;-0.85655;-0.0865399999999999;41.42894861476667
Bmr019.segment.74;94.681;96.151;94.891;96.663;-1.259999999999991;True;0.4665834;0.0;0.0;0.78027;42.98680453472001
Bmr019.segment.76;94.949;96.713;95.239;95.99;-1.4739999999999895;True;0.5034515;0.0;0.0;0.0;0.0
Bmr019.segment.78;95.821;98.361;97.366;98.336;-0.9950000000000044;True;0.37670758;0.0;0.0;-0.03805;43.419849200074445
Bmr019.segment.79;97.366;98.336;97.938;98.927;-0.3979999999999961;True;0.22270717;0.0;0.0;0.0;0.0
Bmr019.segment.81;98.336;107.771;98.434;98.684;-9.337000000000003;True;0.21054773;0.0;0.0;0.0;0.0
Bmr019.segment.82;98.434;98.684;98.574;99.432;-0.1099999999999994;True;0.90066254;0.0;0.0;-0.0645;32.6270805651
Bmr019.segment.84;98.609;100.34;101.149;101.782;0.8089999999999975;True;0.04444856;0.0;0.0;0.0;0.0
Bmr019.segment.86;101.588;108.663;101.69;103.04;-6.972999999999999;True;0.04153775;0.0;0.0;0.0;0.0
Bmr019.segment.88;104.63;106.27;104.787;108.268;-1.48299999999999;True;0.73934567;0.0;0.0;0.3619799999999999;20.469285769262502
Bmr019.segment.90;104.859;108.114;105.425;105.845;-2.689000000000007;True;0.73598003;0.0;0.0;0.0;0.0
Bmr019.segment.91;105.425;105.845;107.313;107.787;1.4680000000000035;False;0.5197623;0.0;-0.0783;0.06888;33.4607135733
Bmr019.segment.96;109.349;111.019;109.41;110.209;-1.6090000000000089;True;0.47059208;0.0;0.0;-0.31889;33.5552924702875
Bmr019.segment.97;109.41;110.209;110.85;114.402;0.6409999999999911;False;0.19907768;0.0;0.0;0.0;0.0
Bmr019.segment.98;110.85;114.402;113.79;114.639;-0.6119999999999948;True;0.19959635;0.0;0.0;0.0;0.0
Bmr019.segment.100;113.984;114.304;115.26;121.22;0.9560000000000032;True;0.27875635;1.0;0.3345800000000001;0.1324;23.0320647616
Bmr019.segment.101;115.26;121.22;116.192;128.548;-5.028000000000006;True;0.3699419;0.0;0.4770000000000001;0.2249000000000001;37.00705842935469
Bmr019.segment.104;121.753;127.063;127.802;130.542;0.7390000000000043;False;0.72352964;0.0;-0.2552;-0.3383199999999999;34.218686182131435
Bmr019.segment.105;127.802;130.542;131.24;132.22;0.6980000000000075;False;0.6480531;0.0;0.3595;-0.02249;40.53851380077143
Bmr019.segment.106;131.24;132.22;132.41;136.083;0.1899999999999977;False;0.4593042;0.0;0.0;-0.1115699999999999;44.7395758751
Bmr019.segment.107;132.41;136.083;136.083;138.849;0.0;False;0.32929242;0.0;0.0;0.0;0.0
Bmr019.segment.108;136.083;138.849;138.889;145.809;0.0400000000000204;False;0.4155568;0.0;0.0;0.0;0.0
Bmr019.segment.109;138.889;145.809;145.918;146.388;0.1090000000000088;True;0.2205174;0.0;-0.6029800000000001;-0.5244;30.917444652330552
Bmr019.segment.110;145.918;146.388;146.29;146.49;-0.0980000000000131;True;0.9400315;0.0;0.13399;0.0785800000000001;29.2006408997
Bmr019.segment.111;146.29;146.49;146.695;147.091;0.204999999999984;True;0.87408006;0.0;0.0;-0.0554099999999999;63.4902345
Bmr019.segment.112;146.695;147.091;147.039;148.96;-0.0520000000000209;True;0.8766767;0.0;0.0;0.0;0.0
Bmr019.segment.113;147.039;148.96;148.812;149.306;-0.1479999999999961;True;0.8494819;0.0;0.0;0.0;0.0
Bmr019.segment.114;148.812;149.306;148.96;154.453;-0.3460000000000036;True;0.46706772;0.0;0.0;0.0;0.0
Bmr019.segment.115;148.96;154.453;149.608;150.418;-4.844999999999999;True;0.47545215;0.0;0.0;0.0;0.0
Bmr019.segment.116;149.608;150.418;153.792;153.972;3.3739999999999952;False;0.6259365;0.0;0.3565399999999999;0.2663299999999999;18.806644097699998
Bmr019.segment.117;153.792;153.972;154.493;159.033;0.5209999999999866;True;-0.02724619;0.0;0.1915599999999999;-0.09021;46.5909654222
Bmr019.segment.118;154.493;159.033;159.09;161.293;0.0570000000000163;False;0.27181464;0.0;-0.3477999999999999;-0.3353399999999999;37.411911651725624
Bmr019.segment.119;159.13;162.95;159.14;159.575;-3.8100000000000014;True;0.26362553;0.0;0.0;0.17032;18.77392600858075
Bmr019.segment.123;161.293;162.99;163.66;165.57;0.6699999999999875;True;0.52604073;0.0;0.0;0.0;0.0
Bmr019.segment.124;163.66;165.57;163.731;167.481;-1.8389999999999984;True;0.5421624;0.0;-0.7302400000000001;-0.45837;33.668832705631246
Bmr019.segment.125;163.731;167.481;165.596;165.806;-1.884999999999991;True;0.2539196;0.0;-0.0306600000000001;0.0049399999999999;30.315916942235553
Bmr019.segment.126;165.596;165.806;167.324;167.644;1.518000000000001;False;1.0;0.0;0.04843;0.0356;21.7870857578
Bmr019.segment.127;167.324;167.644;167.43;167.93;-0.2139999999999986;True;0.9782037;0.0;0.2407;-0.01283;31.4457908958
Bmr019.segment.128;167.43;167.93;167.825;173.455;-0.1050000000000181;True;0.31533116;0.0;0.74647;-0.25353;40.0522490988
Bmr019.segment.129;167.825;173.455;170.117;170.307;-3.3380000000000223;True;0.26969925;0.0;-0.87314;-1.0;0.0
Bmr019.segment.130;170.117;170.307;173.719;174.709;3.412000000000006;True;0.96213335;0.0;0.06896;-0.1268599999999999;50.9288367656
Bmr019.segment.131;173.719;174.709;174.031;177.651;-0.6779999999999973;True;0.38091284;0.0;0.3955499999999999;0.31487;29.77301152555
Bmr019.segment.132;174.031;177.651;174.284;174.534;-3.367000000000018;True;0.33817574;0.0;0.51672;-0.48328;33.95989114158286
Bmr019.segment.133;174.284;174.534;175.994;176.192;1.460000000000008;False;0.27574942;0.0;-1.54057;-1.0;0.0
Bmr019.segment.135;177.443;180.293;177.537;193.594;-2.756;True;0.27704585;0.0;1.32889;0.7275499999999999;35.56372376812778
Bmr019.segment.138;180.822;182.162;182.19;186.68;0.0279999999999915;True;0.41534775;0.0;-0.39762;-0.2617699999999999;30.51936533056116
Bmr019.segment.139;182.19;186.68;187.134;189.21;0.4539999999999793;False;0.7523238;0.0;0.0;-0.38602;43.65289249096389
Bmr019.segment.140;187.134;189.21;187.782;189.444;-1.4279999999999973;True;0.29761377;0.0;0.0;0.0;0.0
Bmr019.segment.142;187.911;191.99;191.362;193.854;-0.6280000000000143;True;0.45238954;0.0;0.0;0.0;0.0
Bmr019.segment.143;191.362;193.854;193.769;194.049;-0.0850000000000079;True;0.5874473;0.0;0.20245;0.11853;30.48383622105756
Bmr019.segment.144;193.769;194.049;194.85;195.17;0.8009999999999877;True;0.8484871;0.0;0.0;-0.08392;32.8019472893
Bmr019.segment.145;194.85;195.17;194.875;197.985;-0.2949999999999875;True;0.34283358;0.0;0.0;0.0;0.0
Bmr019.segment.146;194.875;197.985;196.462;196.719;-1.5230000000000246;True;0.25573212;0.0;0.2148299999999999;0.18574;16.794959254979286
