segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff;f0_stds_means
Bns002.segment.2;2.237;2.677;3.211;4.685;0.5339999999999998;True;0.78211725;0.0;0.0;0.0;0.0
Bns002.segment.3;3.211;4.685;3.793;4.113;-0.8919999999999995;True;0.78211725;0.0;0.0;0.0;0.0
Bns002.segment.4;3.793;4.113;4.613;5.143;0.5;False;0.66966593;0.0;0.0;0.0;0.0
Bns002.segment.5;4.613;5.143;4.77;5.17;-0.3730000000000002;True;0.66966593;0.0;0.0;0.1612299999999999;62.0573511335
Bns002.segment.6;4.77;5.17;5.557;5.925;0.3870000000000004;True;0.96409994;0.0;0.0;0.0;0.0
Bns002.segment.7;5.557;5.925;5.965;15.945;0.04;True;0.09958391;0.0;0.0;0.0;0.0
Bns002.segment.8;5.965;15.945;16.755;26.295;0.8099999999999987;False;0.61359096;0.0;-0.0968299999999999;-0.1903599999999999;36.349394963564784
Bns002.segment.9;16.755;26.295;26.798;39.188;0.5029999999999966;True;0.49785244;0.0;0.4384699999999999;0.2670699999999999;34.539225840958565
Bns002.segment.11;26.835;37.385;39.238;41.508;1.853000000000001;True;0.23733172;0.0;-0.07864;-0.0450399999999999;35.19277609104806
Bns002.segment.12;39.238;41.508;40.455;43.275;-1.0530000000000044;True;0.36825883;0.0;-0.84783;-0.53954;38.31340666677625
Bns002.segment.13;40.455;43.275;42.399;47.846;-0.8759999999999977;True;0.2923528;0.0;-1.00238;-1.0;29.27521372914445
Bns002.segment.14;42.399;47.846;46.981;48.111;-0.8649999999999949;True;0.3808766;0.0;-0.3438900000000001;-0.13404;28.303519852402
Bns002.segment.15;46.981;48.111;48.391;51.021;0.2800000000000011;False;0.6257886;0.0;-0.1024799999999999;0.0221999999999999;24.468863953062503
Bns002.segment.16;48.391;51.021;51.021;54.241;0.0;False;0.8240488;0.0;-0.1755;-0.4548299999999999;43.2046897545125
Bns002.segment.17;51.021;54.241;54.876;59.258;0.634999999999998;True;0.83125025;0.0;0.0;-0.31335;35.316063424878465
Bns002.segment.18;54.876;59.258;55.916;56.736;-3.342000000000006;True;0.80589736;0.0;0.0;0.0;0.0
Bns002.segment.19;55.916;56.736;57.541;59.001;0.8049999999999997;False;0.6210518;0.0;0.81622;-0.18378;40.70950145095
Bns002.segment.20;57.541;59.001;59.258;60.326;0.257000000000005;True;0.9013554;0.0;0.0;-0.1079;35.78725628073334
Bns002.segment.22;59.258;60.326;59.561;61.071;-0.7650000000000006;True;0.43946624;0.0;0.0;0.0;0.0
Bns002.segment.21;59.561;61.071;60.877;63.247;-0.1939999999999955;True;0.32654804;0.0;0.0;0.0;0.0
Bns002.segment.23;60.877;63.247;61.071;61.971;-2.176000000000002;True;0.7148189;0.0;-0.61695;-0.83911;30.7749327118
Bns002.segment.24;61.071;61.971;63.207;66.002;1.2360000000000042;False;0.9959168;0.0;0.0;-0.22216;27.9866241775
Bns002.segment.25;63.207;66.002;63.288;66.435;-2.713999999999998;True;0.75687563;0.0;0.0;0.0;0.0
Bns002.segment.26;63.288;66.435;63.74;64.772;-2.6950000000000003;True;0.24676478;0.0;-0.45837;-0.01924;35.63076924723695
