segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff;f0_stds_means
Bsr001.segment.1;0.01;0.996;0.32;2.74;-0.6759999999999999;True;0.59531033;0.0;0.0;0.42436;28.1453391389
Bsr001.segment.3;0.996;3.041;3.307;10.372;0.266;False;0.2594697;0.0;0.0;0.0;0.0
Bsr001.segment.4;3.307;10.372;5.22;6.79;-5.152;True;-0.02549188;0.0;0.0;0.0;0.0
Bsr001.segment.5;5.22;6.79;5.511;6.834;-1.279;True;0.8644406;0.0;0.0;0.26411;68.37482780145001
Bsr001.segment.11;11.149;12.225;11.221;12.064;-1.0039999999999996;True;0.3685149;0.0;0.0;0.0;0.0
Bsr001.segment.14;13.492;15.942;14.466;16.646;-1.4760000000000009;True;0.43530184;0.0;0.0;-0.1101699999999999;44.473198370299095
Bsr001.segment.18;16.573;19.116;19.116;21.764;0.0;False;0.40799752;0.0;0.0;0.0;0.0
Bsr001.segment.20;19.9;22.59;21.652;24.162;-0.9379999999999988;True;0.3962292;0.0;0.0;0.0;0.0
Bsr001.segment.21;21.652;24.162;21.764;22.83;-2.398;True;0.29945713;0.0;0.0;0.52613;35.28115576924701
Bsr001.segment.22;21.764;22.83;22.232;23.7;-0.597999999999999;True;0.9822349;0.0;0.0;0.0;0.0
Bsr001.segment.24;22.59;24.203;23.17;27.213;-1.0329999999999977;True;0.27354807;0.0;0.0;0.0;0.0
Bsr001.segment.25;23.17;27.213;24.203;27.163;-3.0100000000000016;True;0.25510025;0.0;0.0;0.0;0.0
Bsr001.segment.26;24.203;27.163;24.334;26.529;-2.8290000000000006;True;0.517751;0.0;0.0;-0.41815;31.8397350109
Bsr001.segment.29;26.438;30.234;27.693;29.343;-2.5410000000000004;True;0.5399995;0.0;0.0;0.0;0.0
Bsr001.segment.30;27.693;29.343;29.595;30.425;0.2519999999999989;True;0.6404414;0.0;-1.95942;-0.52214;21.334028131177497
Bsr001.segment.31;29.595;30.425;30.211;34.262;-0.2140000000000022;True;0.43488044;0.0;0.02275;0.67761;12.647310309325
Bsr001.segment.32;30.211;34.262;31.387;38.055;-2.875;True;0.19181381;0.0;0.0;-0.1179299999999999;42.61952752782667
Bsr001.segment.38;35.061;36.265;37.648;41.006;1.383000000000003;False;1.0;0.0;0.0;0.0;0.0
Bsr001.segment.39;37.648;41.006;38.105;39.215;-2.901000000000004;True;0.9500617;0.0;0.0;0.0;0.0
Bsr001.segment.41;38.105;39.215;38.179;38.509;-1.0360000000000014;True;0.9757571;0.0;0.1159999999999998;0.1510499999999999;57.7304416849
Bsr001.segment.40;38.179;38.509;39.203;39.913;0.6940000000000026;True;0.79624784;0.0;-0.0273799999999999;0.03505;42.0139794375
Bsr001.segment.42;39.203;39.913;40.009;43.15;0.0960000000000036;True;0.43183953;0.0;0.0;0.0066999999999999;28.958209164600003
Bsr001.segment.43;40.009;43.15;41.406;41.934;-1.7439999999999998;True;0.5910012;0.0;0.0;0.0;0.0
Bsr001.segment.47;42.49;43.01;43.75;44.418;0.740000000000002;True;0.5485436;0.0;-0.2056499999999999;0.17727;23.802710464866664
Bsr001.segment.51;44.39;44.86;44.76;45.61;-0.1000000000000014;True;0.4100034;0.0;1.20735;0.2073499999999999;6.757631865143334
Bsr001.segment.52;44.76;45.61;45.19;45.7;-0.4200000000000017;True;0.5556911;0.0;0.0201199999999999;-0.27407;42.262728193575
Bsr001.segment.53;45.19;45.7;45.312;47.982;-0.3880000000000052;True;0.6139809;0.0;-0.0582199999999999;0.0217899999999999;53.78768258845
Bsr001.segment.54;45.312;47.982;45.85;46.83;-2.131999999999998;True;0.6139809;0.0;-0.01285;-0.30743;45.081318038019994
Bsr001.segment.59;47.66;48.32;48.34;49.469;0.0200000000000031;True;0.8673779;0.0;-0.00777;0.0132399999999999;52.54583134405
Bsr001.segment.61;48.767;49.207;49.03;49.717;-0.1769999999999996;True;0.7327461;0.0;0.3144199999999999;0.0210099999999999;90.4680746836
Bsr001.segment.63;49.6;50.16;49.969;51.86;-0.1909999999999954;True;0.81859475;0.0;-0.4877900000000001;0.1043099999999999;47.8626291434
Bsr001.segment.64;49.969;51.86;50.399;58.274;-1.4609999999999983;True;0.73607254;0.0;-0.35013;-0.39497;34.03501604202981
Bsr001.segment.66;50.773;52.103;52.194;52.673;0.091000000000001;True;0.63244987;0.0;-0.20888;-0.08984;66.7542600426
Bsr001.segment.68;52.27;54.19;53.053;54.11;-1.1370000000000005;True;0.58599126;0.0;-0.3755199999999999;-0.0492;55.77605348557999
Bsr001.segment.72;54.3;56.42;55.46;56.38;-0.9600000000000009;True;0.8945867;0.0;-0.4239999999999999;-0.0878799999999999;39.6647500495
Bsr001.segment.75;56.84;57.54;56.9;59.17;-0.6400000000000006;True;0.35809967;0.0;-0.6157499999999999;-0.2541799999999999;23.8158739066
Bsr001.segment.74;56.9;59.17;57.73;58.04;-1.4400000000000048;True;0.4289261;0.0;-0.0061899999999999;0.24109;8.392612932527143
Bsr001.segment.76;57.73;58.04;57.987;60.367;-0.0529999999999972;True;0.44315824;0.0;0.3885999999999999;0.2472799999999999;44.3236034972
Bsr001.segment.77;57.987;60.367;58.41;58.93;-1.9570000000000007;True;0.44315824;0.0;-0.15898;-0.0126899999999999;48.306753390728566
Bsr001.segment.78;58.41;58.93;58.468;59.088;-0.4619999999999962;True;0.8294558;0.0;-0.50204;0.14629;75.6189822747
Bsr001.segment.79;58.468;59.088;59.37;62.6;0.2819999999999965;True;0.38339663;0.0;0.00957;0.6483300000000001;41.2051013402
Bsr001.segment.80;59.37;62.6;60.805;62.41;-1.7950000000000017;True;0.37149143;0.0;-0.22523;-0.17557;94.90751356662221
Bsr001.segment.82;61.43;62.36;62.45;63.44;0.0900000000000034;True;0.4633205;0.0;0.3621599999999999;0.3132299999999999;35.648009116746664
Bsr001.segment.83;62.45;63.44;63.368;64.835;-0.0719999999999956;True;0.45462587;0.0;0.0;-0.4830299999999999;32.33033151721715
Bsr001.segment.85;63.76;66.554;65.26;66.43;-1.293999999999997;True;0.73951143;0.0;0.0;0.0;0.0
Bsr001.segment.86;65.26;66.43;65.404;67.314;-1.0260000000000105;True;0.40702143;0.0;-0.8008599999999999;0.04139;40.63478638953249
Bsr001.segment.87;65.404;67.314;66.8;69.82;-0.5139999999999958;True;0.52574867;0.0;-0.7239899999999999;-0.30511;28.177305009461996
Bsr001.segment.88;66.8;69.82;66.828;68.284;-2.9919999999999902;True;0.41027004;0.0;0.0;-0.54206;26.689992138096365
Bsr001.segment.91;67.51;69.54;68.527;68.907;-1.0130000000000052;True;0.7046059;0.0;0.0;0.0;0.0
Bsr001.segment.92;68.527;68.907;69.12;69.82;0.213000000000008;False;0.40179902;0.0;0.38022;-0.0238899999999999;95.6292875357
Bsr001.segment.94;69.78;72.13;70.05;70.29;-2.0799999999999983;True;0.40179902;0.0;1.0264600000000002;0.27993;31.771435111697272
Bsr001.segment.95;70.05;70.29;70.82;71.05;0.5299999999999869;False;0.9999999;0.0;0.2105999999999999;-0.74653;47.8305690416
Bsr001.segment.96;70.82;71.05;71.68;74.45;0.6300000000000097;False;0.45730418;0.0;-0.90902;-0.95713;5.467834
Bsr001.segment.97;71.68;74.45;71.73;71.97;-2.719999999999999;True;0.44628322;0.0;-0.74226;-1.0;19.631058726766668
Bsr001.segment.98;71.73;71.97;71.907;72.907;-0.0630000000000023;True;1.0;0.0;0.26281;-0.2577399999999999;46.2626123269
Bsr001.segment.99;71.907;72.907;71.91;72.15;-0.997;True;1.0;0.0;-0.5539800000000001;-0.5205500000000001;51.0619128269
Bsr001.segment.100;71.91;72.15;72.05;72.22;-0.1000000000000085;True;0.97820365;0.0;-0.41977;0.03343;40.2976285873
Bsr001.segment.101;72.05;72.22;72.29;72.92;0.0700000000000073;True;0.8084754;0.0;0.09602;0.4532;21.1624782143
Bsr001.segment.102;72.29;72.92;72.532;74.875;-0.3880000000000052;True;0.4599246;0.0;-0.11271;0.2232199999999999;38.690047654636246
Bsr001.segment.103;72.532;74.875;73.17;74.07;-1.7049999999999983;True;0.4903081;0.0;-0.5793200000000001;0.0928899999999999;13.6995130224
Bsr001.segment.104;73.17;74.07;73.38;74.25;-0.6899999999999977;True;0.3407631;0.0;-0.8467600000000002;0.44069;10.4510328233025
Bsr001.segment.105;73.38;74.25;73.756;74.45;-0.4939999999999998;True;0.5591969;0.0;0.0;0.28223;9.880109763905
Bsr001.segment.107;74.45;76.475;75.16;77.49;-1.3149999999999975;True;0.4826331;0.0;0.0;0.0;0.0
Bsr001.segment.108;75.16;77.49;75.286;76.363;-2.203999999999993;True;0.48607528;0.0;0.0;0.1456900000000001;36.57545952549
Bsr001.segment.109;75.286;76.363;75.589;83.15;-0.7740000000000009;True;0.35692647;0.0;0.0;0.0;0.0
Bsr001.segment.111;75.589;83.15;75.62;76.01;-7.530000000000001;True;0.13517301;0.0;0.0;0.0;0.0
Bsr001.segment.110;75.62;76.01;76.475;78.78;0.4649999999999892;True;0.48144773;0.0;-1.15252;-1.0;0.0
Bsr001.segment.113;77.19;79.48;78.517;80.072;-0.963000000000008;True;0.61959314;0.0;0.55093;0.31461;48.392696737281256
Bsr001.segment.116;79.037;79.397;80.25;81.49;0.8529999999999944;True;0.8487858;0.0;-0.8439;-0.2363199999999999;38.0111818436
Bsr001.segment.117;80.25;81.49;80.563;87.228;-0.9269999999999924;True;0.8233544;0.0;0.0;-0.39008;61.039931922075
Bsr001.segment.119;81.09;82.65;82.39;83.12;-0.2600000000000051;True;0.8382621;0.0;0.0;0.0;0.0
Bsr001.segment.121;82.46;82.77;83.16;85.171;0.3900000000000005;True;0.51012605;0.0;0.0;-0.1678699999999999;95.96682100000001
Bsr001.segment.122;83.16;85.171;83.24;83.97;-1.931000000000012;True;0.3464133;0.0;0.0;0.0;0.0
Bsr001.segment.126;85.036;87.935;85.833;86.173;-2.102000000000004;True;0.55423415;0.0;0.0;0.0;0.0
Bsr001.segment.127;85.833;86.173;87.65;91.012;1.477000000000004;True;0.92045724;0.0;0.0;-0.44281;68.7445981376
Bsr001.segment.128;87.65;91.012;87.679;88.607;-3.3329999999999984;True;0.62873834;0.0;0.0;0.0;0.0
Bsr001.segment.133;90.392;92.73;91.012;92.169;-1.7180000000000035;True;0.92185235;0.0;0.0;0.0;0.0
Bsr001.segment.135;91.713;92.923;92.41;93.122;-0.5130000000000052;True;0.5530348;0.0;0.0;0.0750299999999999;50.71201543488
Bsr001.segment.136;92.41;93.122;93.162;94.582;0.0400000000000062;False;0.5717174;0.0;0.0;0.0;0.0
Bsr001.segment.137;93.162;94.582;95.26;96.46;0.6780000000000115;True;0.6114054;0.0;-0.4450499999999999;-0.27613;81.40948976359999
Bsr001.segment.138;95.26;96.46;95.74;102.311;-0.7199999999999989;True;0.3091833;0.0;0.0;-0.0270399999999999;53.95817239585
Bsr001.segment.139;95.74;102.311;96.01;97.24;-6.301000000000002;True;0.29457304;0.0;0.0;0.0;0.0
Bsr001.segment.145;99.214;99.894;100.68;101.64;0.7860000000000014;False;0.7582787;0.0;0.57464;0.02865;61.96124998635333
Bsr001.segment.146;100.68;101.64;101.401;107.92;-0.2390000000000043;True;0.2514292;0.0;0.0;-0.5606;50.7990375894
Bsr001.segment.147;101.401;107.92;103.43;104.614;-4.489999999999995;True;0.28730989;0.0;0.0;0.0;0.0
Bsr001.segment.150;105.47;107.483;105.49;106.29;-1.9930000000000088;True;0.59780866;0.0;-1.17581;-1.0;45.32401363111575
Bsr001.segment.152;105.679;106.379;107.33;108.24;0.9509999999999934;True;0.45728165;0.0;0.0738900000000001;0.05621;30.63163810555
Bsr001.segment.155;107.5;108.7;107.53;107.97;-1.1700000000000017;True;0.45193973;0.0;-0.1818200000000001;0.28325;97.66907523882502
Bsr001.segment.153;107.53;107.97;107.53;108.03;-0.4399999999999977;True;0.5695189;0.0;-0.2087199999999998;0.4650700000000001;15.7560723322
Bsr001.segment.156;107.53;108.03;108.404;109.84;0.3739999999999952;True;0.6124536;0.0;0.0;0.6737899999999999;31.110718689
Bsr001.segment.159;108.771;109.79;108.8;111.27;-0.9900000000000092;True;0.4196228;0.0;0.0;0.0;0.0
Bsr001.segment.158;108.8;111.27;109.099;112.36;-2.1709999999999923;True;0.51246905;0.0;0.0;0.3408500000000001;45.02988984561428
Bsr001.segment.160;109.099;112.36;109.37;110.72;-2.989999999999995;True;0.44958386;0.0;0.0;0.0;0.0
Bsr001.segment.161;109.37;110.72;109.843;110.875;-0.8769999999999953;True;0.69647175;0.0;0.0;0.0;0.0
Bsr001.segment.162;109.843;110.875;109.876;110.994;-0.9989999999999952;True;0.84530693;0.0;0.0;0.0;0.0
Bsr001.segment.164;111.066;111.496;111.47;113.913;-0.0259999999999962;True;0.46549016;0.0;0.0;0.1859299999999999;65.1391961311
Bsr001.segment.165;111.47;113.913;112.71;113.39;-1.203000000000003;True;0.48699978;0.0;0.0;0.0;0.0
Bsr001.segment.166;112.71;113.39;114.0;115.86;0.6099999999999994;True;0.3778991;0.0;-0.1313600000000001;0.4797599999999999;55.93718202435
Bsr001.segment.167;114.0;115.86;115.86;117.69;0.0;False;0.5706556;0.0;0.6525;-0.3475;32.40805797816667
Bsr001.segment.169;115.86;117.69;115.93;116.97;-1.759999999999991;True;0.46144104;0.0;0.0;0.2352799999999999;17.033838816625714
Bsr001.segment.168;115.93;116.97;116.393;117.634;-0.5769999999999982;True;0.8892229;0.0;0.0;0.0;0.0
Bsr001.segment.170;116.393;117.634;117.96;119.11;0.3259999999999934;True;0.71470755;0.0;0.56629;-0.03544;32.41394139117597
Bsr001.segment.171;117.96;119.11;118.033;119.08;-1.0769999999999982;True;0.79749274;0.0;-0.3186300000000001;-0.03703;40.15582781766667
Bsr001.segment.173;118.199;119.419;119.16;120.612;-0.2590000000000003;True;0.72733945;0.0;0.0;0.2816000000000001;22.4701774209
Bsr001.segment.174;119.16;120.612;119.384;119.694;-1.2279999999999944;True;0.69965136;0.0;0.0;0.0;0.0
Bsr001.segment.175;119.384;119.694;120.22;121.15;0.5259999999999962;True;0.7129717;0.0;0.1473;0.3725;13.2420951267
Bsr001.segment.177;120.3;121.26;120.612;121.413;-0.6480000000000103;True;0.65743566;0.0;0.0;-0.16698;42.74785256361429
Bsr001.segment.178;120.612;121.413;120.68;122.588;-0.7329999999999899;True;0.46392977;0.0;0.0;0.0;0.0
Bsr001.segment.179;120.68;122.588;121.413;122.811;-1.1749999999999972;True;0.25192362;0.0;0.0;0.0;0.0
Bsr001.segment.185;123.395;128.537;123.537;124.397;-5.0;True;0.15550497;0.0;0.0;0.0;0.0
Bsr001.segment.186;123.537;124.397;123.549;124.531;-0.847999999999999;True;0.6315743;0.0;0.0;0.28248;24.339844644
Bsr001.segment.187;123.549;124.531;124.875;127.15;0.3439999999999941;True;0.58082366;0.0;0.0;0.0;0.0
Bsr001.segment.194;132.394;133.91;133.23;135.79;-0.6800000000000068;True;0.4027744;0.0;0.0;0.0;0.0
Bsr001.segment.195;133.23;135.79;135.828;137.95;0.0380000000000109;False;0.427888;0.0;0.3602800000000001;0.8984700000000001;34.16126034744154
Bsr001.segment.197;136.06;136.9;137.108;138.184;0.2079999999999984;True;0.6251228;0.0;0.0;0.0547899999999998;35.79495423667
Bsr001.segment.199;137.634;138.57;138.09;138.65;-0.4799999999999897;True;0.30883005;0.0;0.0;0.0;0.0
Bsr001.segment.200;138.09;138.65;138.79;139.84;0.1399999999999863;True;0.34974986;0.0;0.31365;0.26559;51.80806270515
Bsr001.segment.201;138.79;139.84;139.11;139.764;-0.7299999999999898;True;0.49691892;0.0;0.0;-0.02998;40.21422778463501
Bsr001.segment.203;139.94;141.353;139.966;141.164;-1.3870000000000005;True;0.7719863;0.0;0.0;0.0;0.0
Bsr001.segment.204;139.966;141.164;141.2;142.08;0.0360000000000013;True;0.26906586;0.0;0.0;0.0;0.0
Bsr001.segment.205;141.2;142.08;141.589;142.76;-0.4910000000000138;True;0.31809425;0.0;-0.6480899999999999;-0.2471;50.561565788066666
Bsr001.segment.207;142.34;144.16;142.341;143.453;-1.8189999999999884;True;0.6857863;0.0;-0.6761;-0.1214899999999999;47.2371804063
Bsr001.segment.208;142.398;142.628;144.327;147.39;1.6990000000000125;False;0.17176767;0.0;0.0;0.55461;43.0974926205
Bsr001.segment.210;144.327;147.39;144.42;145.07;-2.969999999999999;True;0.18777612;0.0;0.0;0.0;0.0
Bsr001.segment.211;144.42;145.07;144.716;148.15;-0.353999999999985;True;0.6780598;0.0;0.0;-0.20172;30.2963940421
Bsr001.segment.213;144.716;148.15;144.76;145.5;-3.390000000000015;True;0.6180685;0.0;0.0;0.0;0.0
Bsr001.segment.212;144.76;145.5;145.42;146.5;-0.0800000000000125;True;0.673203;0.0;0.0;0.04356;15.207683378085001
Bsr001.segment.216;146.38;147.56;148.15;149.114;0.5900000000000034;True;0.3405814;0.0;0.0;0.0;0.0
Bsr001.segment.218;148.17;151.25;149.154;149.924;-2.096000000000004;True;0.46701348;0.0;0.0;0.0;0.0
Bsr001.segment.219;149.154;149.924;150.021;152.847;0.0969999999999799;False;0.65067935;0.0;-0.53461;-0.1634;53.582246196300005
