segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff;f0_stds_means
Btr002.segment.1;0.04;1.35;1.177;4.117;-0.173;True;0.2747869;0.0;-0.47883;-0.76938;46.06144797818
Btr002.segment.5;4.632;9.192;9.372;11.602;0.1799999999999997;False;0.41677204;0.0;0.46953;-0.34528;84.56725249536733
Btr002.segment.6;9.372;11.602;10.519;11.683;-1.0830000000000002;True;0.40515184;0.0;0.0;0.3834900000000001;104.1485346421
Btr002.segment.7;10.519;11.683;11.85;13.02;0.1669999999999998;True;0.4721002;0.0;0.0;0.0;0.0
Btr002.segment.8;11.85;13.02;12.141;13.641;-0.8789999999999996;True;0.6422932;0.0;0.0;0.0;0.0
Btr002.segment.9;12.141;13.641;12.966;13.456;-0.6750000000000007;True;0.8178687;0.0;-1.5806;-0.37;82.8784976327
Btr002.segment.10;12.966;13.456;13.032;15.842;-0.4239999999999995;True;0.6268397;0.0;0.99661;1.2106;92.465751649
Btr002.segment.11;13.032;15.842;14.978;16.341;-0.8640000000000008;True;0.29382488;0.0;0.0;-0.36717;63.982709704030555
Btr002.segment.12;14.978;16.341;16.341;17.214;0.0;False;0.5814184;0.0;0.0;0.0;0.0
Btr002.segment.15;16.341;17.214;16.342;16.932;-0.8719999999999999;True;0.9436916;0.0;0.0;0.0;0.0
Btr002.segment.13;16.342;16.932;16.36;16.59;-0.5719999999999992;True;0.8663878;0.0;-0.0688599999999999;0.52288;91.8849390727
Btr002.segment.14;16.36;16.59;17.88;18.13;1.2899999999999991;True;0.9455927;0.0;1.06595;0.5917399999999999;100.827745975
Btr002.segment.16;17.88;18.13;18.266;21.116;0.1359999999999992;True;0.43792346;0.0;0.52579;-0.47421;89.03574141
Btr002.segment.17;18.266;21.116;18.551;19.091;-2.5650000000000013;True;0.3895423;0.0;0.14316;-0.1054899999999999;44.654234767745834
Btr002.segment.18;18.551;19.091;19.2;22.646;0.1089999999999982;True;0.45284274;0.0;0.0;-0.24865;48.07805441
Btr002.segment.19;19.2;22.646;21.327;29.414;-1.318999999999999;True;0.3760168;0.0;0.0;0.0;0.0
Btr002.segment.20;21.327;29.414;21.758;22.148;-7.656000000000002;True;0.48992708;0.0;0.0;0.0;0.0
Btr002.segment.21;21.758;22.148;22.369;53.862;0.221;True;0.87407994;0.0;0.0;0.0;0.0
Btr002.segment.23;24.299;24.509;26.803;27.053;2.2940000000000005;True;0.948358;0.0;0.13788;-0.2265599999999999;14.3860845398
Btr002.segment.24;26.803;27.053;27.04;27.31;-0.0130000000000016;True;0.97180974;0.0;-0.44661;-0.36444;74.047897036
Btr002.segment.25;27.04;27.31;29.898;31.003;2.588000000000001;True;0.6489899;0.0;0.0;0.08217;76.1571439
Btr002.segment.26;29.898;31.003;31.132;33.55;0.1290000000000013;False;0.58644783;0.0;0.0;0.0;0.0
Btr002.segment.27;31.132;33.55;33.598;34.488;0.0480000000000018;True;0.7732127;0.0;0.0;0.0;0.0
Btr002.segment.28;33.598;34.488;34.16;35.06;-0.3280000000000029;True;0.8686226;0.0;-0.8350199999999999;-0.4955199999999999;25.4675488443
Btr002.segment.29;34.16;35.06;34.229;43.426;-0.8310000000000031;True;0.204766;0.0;0.0;0.3394999999999999;69.2034427336
Btr002.segment.30;34.229;43.426;36.277;37.91;-7.149000000000001;True;0.1861318;0.0;0.0;0.0;0.0
Btr002.segment.31;36.277;37.91;45.259;45.549;7.349000000000004;True;0.9044888;0.0;0.0;0.0;0.0
Btr002.segment.32;45.259;45.549;47.652;50.32;2.103000000000001;True;0.7732049;0.0;0.0;-0.3838;14.1657813512
Btr002.segment.33;47.652;50.32;48.275;49.665;-2.0450000000000017;True;0.814283;0.0;0.0;0.0;0.0
Btr002.segment.34;48.275;49.665;50.32;51.27;0.6550000000000011;True;0.8734852;0.0;0.0;-0.5091;70.1355288857
Btr002.segment.35;50.32;51.27;52.705;57.914;1.4349999999999952;True;0.8712316;0.0;0.0;0.0;0.0
Btr002.segment.36;52.705;57.914;52.78;59.509;-5.134;True;0.46873873;0.0;0.0;0.0;0.0
Btr002.segment.37;52.78;59.509;53.66;55.22;-5.849000000000004;True;0.6061654;0.0;-0.5349999999999999;-0.38015;78.41639957910802
Btr002.segment.38;53.66;55.22;54.032;54.342;-1.1880000000000024;True;0.8274263;0.0;0.0;-0.2961;35.76898601395
Btr002.segment.39;54.032;54.342;54.81;55.09;0.4680000000000035;True;0.8161789;0.0;0.0;0.0;0.0
Btr002.segment.40;54.81;55.09;59.7;61.98;4.609999999999999;True;0.50913185;0.0;0.91903;-0.0809699999999999;101.056540041
Btr002.segment.41;59.7;61.98;61.676;62.13;-0.3039999999999949;True;0.44966462;0.0;0.0;-0.0847499999999999;56.305889507524995
Btr002.segment.44;62.797;68.614;69.49;72.04;0.8759999999999906;False;0.5724658;0.0;0.0;0.0;0.0
Btr002.segment.45;69.49;72.04;71.48;71.92;-0.5600000000000023;True;0.56742156;0.0;0.3420499999999998;0.1662999999999999;79.273692319175
Btr002.segment.47;73.048;76.218;76.644;78.704;0.4260000000000019;False;0.4527325;0.0;-0.37478;-0.17949;76.53325042663639
Btr002.segment.48;76.644;78.704;79.021;86.081;0.3170000000000073;False;0.36781454;0.0;0.2621599999999999;-0.07357;87.310580827125
Btr002.segment.49;79.021;86.081;87.793;88.783;1.7120000000000033;False;0.1884421;0.0;-0.24862;-0.52553;72.60732384412192
Btr002.segment.50;87.793;88.783;89.562;92.505;0.7789999999999964;False;0.82474804;0.0;0.0;-0.31284;59.00735233835
Btr002.segment.51;89.562;92.505;89.6;90.44;-2.905000000000001;True;0.6603056;0.0;0.0;0.0;0.0
Btr002.segment.54;90.891;93.737;92.505;93.21;-1.231999999999999;True;0.6212046;0.0;0.0;0.0;0.0
Btr002.segment.55;92.505;93.21;92.528;93.757;-0.681999999999988;True;0.7891867;0.0;0.0;0.0;0.0
Btr002.segment.56;92.528;93.757;93.422;100.26;-0.3350000000000079;True;0.67925984;0.0;0.0;0.0;0.0
Btr002.segment.57;93.422;100.26;100.62;100.98;0.3599999999999994;False;0.65383375;0.0;0.04324;0.04092;72.28090966439737
Btr002.segment.58;100.62;100.98;102.22;102.32;1.2399999999999949;False;0.91631144;0.0;0.0;-0.0023199999999999;69.1177013745
Btr002.segment.59;102.22;102.32;102.32;106.51;0.0;False;0.48863393;0.0;0.0;0.0;0.0
Btr002.segment.60;102.32;106.51;107.26;117.0;0.75;False;0.43601364;0.0;0.3143699999999999;0.2669999999999999;49.894212681515
Btr002.segment.61;107.26;117.0;112.689;114.104;-4.311000000000007;True;0.6734729;0.0;0.0;-0.23101;72.75894871167773
Btr002.segment.63;117.425;124.89;119.45;123.664;-5.439999999999998;True;0.48011076;0.0;0.0;0.0;0.0
Btr002.segment.67;122.89;123.2;123.664;125.03;0.4639999999999986;True;0.9413238;0.0;0.0;0.3408299999999999;49.3841767222
Btr002.segment.68;123.664;125.03;124.915;130.145;-0.1149999999999948;True;0.3331322;0.0;0.0;0.0;0.0
Btr002.segment.69;124.915;130.145;126.87;127.53;-3.2750000000000057;True;0.5326538;0.0;0.0616999999999998;0.0655699999999999;59.80138273241006
Btr002.segment.71;129.87;134.16;133.43;139.73;-0.7299999999999898;True;0.7817853;0.0;0.0;0.6775500000000001;52.491189867596
Btr002.segment.72;133.43;139.73;135.361;135.611;-4.369;True;0.29563445;0.0;0.0;0.0;0.0
Btr002.segment.73;135.361;135.611;138.816;139.216;3.2050000000000125;False;0.87407994;0.0;0.0;0.5559400000000001;32.5545840997
Btr002.segment.74;138.816;139.216;139.73;142.614;0.5139999999999816;True;0.45636302;0.0;0.0;0.0;0.0
Btr002.segment.75;139.73;142.614;142.16;142.62;-0.4540000000000077;True;0.45829904;0.0;0.0;0.0;0.0
Btr002.segment.76;142.16;142.62;142.734;145.654;0.1140000000000043;True;0.59624296;0.0;0.0;0.0;0.0
Btr002.segment.77;142.734;145.654;146.092;152.642;0.4380000000000166;False;0.28189632;0.0;0.13958;-0.35251;47.85229447452508
Btr002.segment.78;146.092;152.642;151.528;152.867;-1.1140000000000043;True;0.06188395;0.0;0.09796;0.4997400000000001;73.34061580852106
Btr002.segment.81;152.579;152.969;153.07;153.32;0.100999999999999;True;0.930153;0.0;0.63834;0.40178;42.8115707679
Btr002.segment.82;153.07;153.32;153.372;153.962;0.0520000000000209;True;0.7732049;0.0;0.41444;-0.23656;96.906818075
Btr002.segment.83;153.372;153.962;153.59;153.84;-0.3719999999999857;True;0.7732049;0.0;-0.70275;-0.651;54.3646841719
Btr002.segment.84;153.59;153.84;154.11;154.43;0.2700000000000102;True;0.930153;0.0;-0.06508;0.0517499999999999;24.81635826
Btr002.segment.85;154.11;154.43;154.732;160.152;0.3019999999999925;True;0.34363335;0.0;0.0233000000000001;0.1168299999999999;83.0015730139
