segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_stds;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff
Bmr019.segment.1;0.363;1.383;1.286;1.84;['14.4732112781'];-0.0969999999999999;True;[[0.8821087]];0.0;0.0;0.1881299999999999
Bmr019.segment.3;1.622;2.631;2.344;4.924;[];-0.2869999999999999;True;[[0.22641385]];0.0;0.0;0.0
Bmr019.segment.4;2.344;4.924;2.374;2.898;['45.9200718472', '1.6601986875', '14.1189540267', '24.0965307508', '27.902175', '2.609675375', '24.1196876254', '0.0', '41.9621370612', '8.05737614286'];-2.5500000000000003;True;[[0.18962634]];0.0;0.0;0.3874599999999999
Bmr019.segment.6;2.374;2.898;2.514;2.884;[];-0.3840000000000003;True;[[0.821118]];0.0;0.0;0.0
Bmr019.segment.5;2.514;2.884;3.502;3.872;['0.0'];0.6179999999999999;True;[[0.9462359]];0.0;0.0;-1.0
Bmr019.segment.7;3.502;3.872;4.233;14.34;['0.0', '0.0'];0.3609999999999997;True;[[0.9544158]];0.0;-1.29668;-1.0
Bmr019.segment.9;6.29;6.53;6.488;7.121;['22.745406338'];-0.0419999999999998;True;[[1.]];0.0;1.29668;0.29668000000000005
Bmr019.segment.10;6.488;7.121;8.11;10.721;['0.0', '0.0', '62.5266321633'];0.988999999999999;True;[[0.3998306]];0.0;0.0;0.30258000000000007
Bmr019.segment.12;8.11;10.721;9.692;12.551;[];-1.029;True;[[0.45076558]];0.0;0.0;0.0
Bmr019.segment.13;9.692;12.551;11.723;13.523;['58.5978223467', '56.2353078107', '7.03210772318', '50.7894735937', '2.575230625', '3.02733480277', '3.08595302222', '37.7625734388'];-0.8279999999999994;True;[[0.41235706]];0.0;0.24262000000000006;0.04044000000000003
Bmr019.segment.14;11.723;13.523;14.662;23.212;['34.4080232263', '60.0684946505', '38.2025913424', '43.3854889844', '46.1001871528', '9.68275555125'];1.1390000000000011;False;[[0.24443655]];0.0;0.41527000000000014;0.2421500000000001
Bmr019.segment.15;14.662;23.212;19.426;21.265;['59.7248295278', '31.1462282109', '51.4572233437', '43.9488243764', '47.8960073061', '27.8272278661', '1.49719682716', '43.6611618595', '33.6954151102', '48.00389262', '63.798580035', '40.899895686', '48.9788166111', '46.4342430937', '43.56881046', '40.2080033244', '42.6219670408', '43.2425351379', '22.0435380069', '55.1994407755', '44.625791551', '47.4528248444'];-3.786000000000002;True;[[0.16940281]];0.0;0.0;-0.014530000000000043
Bmr019.segment.18;21.685;23.425;21.993;22.503;[];-1.4320000000000022;True;[[0.72948736]];0.0;0.0;0.0
Bmr019.segment.19;21.993;22.503;23.425;25.72;[];0.9220000000000006;True;[[0.57955176]];0.0;0.0;0.0
Bmr019.segment.20;23.425;25.72;24.432;32.697;[];-1.2880000000000005;True;[[0.42071232]];0.0;0.0;0.0
Bmr019.segment.22;25.159;28.689;28.044;28.324;['45.343877', '47.7733950309', '3.98852038889', '29.2974709418', '49.1177252126', '36.3776762857', '49.2562587867', '39.7463121901', '31.0420532562', '13.9016644852', '38.92492096', '37.41657656', '6.62974592', '16.2458926543'];-0.6449999999999996;True;[[0.29900315]];0.0;0.0;0.34558
Bmr019.segment.23;28.044;28.324;29.327;33.817;[];1.003;True;[[0.6888757]];0.0;0.0;0.0
Bmr019.segment.24;29.327;33.817;34.427;35.547;['10.0917228477', '43.7430523889', '57.6376531041', '53.6180587784', '2.88956658789', '25.4741582272'];0.6099999999999994;False;[[0.54038465]];0.0;-0.22148999999999996;0.13097000000000003
Bmr019.segment.25;34.427;35.547;35.757;36.865;['12.0719221481', '52.99006045', '57.249394', '19.8151801956', '35.6708154074'];0.2100000000000008;False;[[0.66449213]];0.0;0.0;0.056969999999999965
Bmr019.segment.27;36.865;39.786;39.926;44.126;[];0.1400000000000005;False;[[0.16477224]];0.0;0.0;0.0
Bmr019.segment.28;39.926;44.126;44.127;44.527;['54.3119351667', '21.8171927328', '49.5191707734', '51.2576962347', '44.9627634568', '1.92380684354', '2.69946104', '44.5699615789', '46.8643797551', '46.2694347104', '44.0539742', '0.0', '32.8703127742', '10.2080985785'];0.0010000000000047;True;[[-0.03224461]];0.0;0.4067200000000001;0.03797000000000006
Bmr019.segment.29;44.127;44.527;44.19;45.524;['50.3109576599'];-0.3370000000000033;True;[[0.961887]];0.0;-0.07484000000000002;-0.36875
Bmr019.segment.31;45.564;45.824;46.541;48.131;['45.559650576'];0.7169999999999987;False;[[0.59151906]];0.0;-0.39407000000000003;-0.29391
