segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_stds;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff
Bns003.segment.1;6.579;7.007;10.469;12.246;[];3.462;True;[[0.594278]];0.0;0.0;0.0
Bns003.segment.2;10.469;12.246;12.818;14.013;[];0.5719999999999992;True;[[0.40238962]];0.0;0.0;0.0
Bns003.segment.3;12.818;14.013;17.095;17.507;[];3.081999999999999;False;[[0.62657493]];0.0;0.0;0.0
Bns003.segment.4;17.095;17.507;17.919;18.461;[];0.411999999999999;False;[[0.7923752]];0.0;0.0;0.0
Bns003.segment.5;17.919;18.461;19.927;20.118;[];1.466000000000001;False;[[0.7659952]];0.0;0.0;0.0
Bns003.segment.6;19.927;20.118;25.148;25.881;[];5.030000000000001;False;[[0.8256684]];0.0;0.0;0.0
Bns003.segment.8;25.148;25.881;26.003;26.813;[];0.1219999999999998;True;[[0.6831979]];0.0;0.0;0.0
Bns003.segment.9;26.003;26.813;27.079;27.264;['55.9830496364', '28.1589498512', '63.58248835'];0.2660000000000018;True;[[0.7474574]];0.0;0.0;-0.07940999999999998
Bns003.segment.10;27.079;27.264;27.413;32.333;[];0.1490000000000009;True;[[0.28911388]];0.0;0.0;0.0
Bns003.segment.11;27.413;32.333;28.087;28.749;['43.5293859', '1.2712870625', '6.27797742222', '10.9933735385', '35.5440462716', '56.1010761719', '1.68646363636', '0.952399191111', '1.75809916', '1.9471588', '3.68742861111', '0.981349623457', '4.62281311111', '4.50442305102', '39.67890384', '6.72369775', '31.3838265124', '11.3706694321', '30.7998736364', '61.0379417037'];-4.245999999999999;True;[[0.43602028]];0.0;0.0;-0.41589
Bns003.segment.12;28.087;28.749;31.011;32.634;[];2.2620000000000005;False;[[0.5003376]];0.0;0.0;0.0
Bns003.segment.13;31.011;32.634;32.99;34.29;[];0.3560000000000016;True;[[0.48844308]];0.0;0.0;0.0
Bns003.segment.14;32.99;34.29;35.341;38.351;['13.7642380992', '37.8996563457', '1.80373754', '35.4782704377', '49.3756167243'];1.051000000000002;False;[[0.55085325]];0.0;0.16570000000000018;0.3487100000000001
Bns003.segment.15;35.341;38.351;38.5;39.504;['30.1443089594', '6.2365448', '4.13333249383', '46.5905986389', '35.5123052781', '44.0578657959', '7.04881452', '52.0789304543', '52.2502885429'];0.1490000000000009;True;[[0.77103055]];0.0;-0.5730900000000001;-0.42673000000000005
Bns003.segment.17;38.607;39.957;40.709;41.429;['22.6381830312', '48.076553719', '31.8877532812', '46.1872825', '17.07129896', '48.2229437593'];0.7520000000000024;False;[[0.592788]];0.0;-0.18208000000000013;-0.015650000000000053
Bns003.segment.18;40.709;41.429;41.303;41.423;['32.5194163806', '54.9783391358', '53.6192142143', '2.77448720833'];-0.1260000000000047;True;[[0.6240057]];0.0;0.6937300000000001;0.3149200000000001
Bns003.segment.19;41.303;41.423;42.024;42.574;['53.3673424959'];0.6009999999999991;True;[[0.39809608]];0.0;-0.17847999999999997;-0.37881
Bns003.segment.20;42.024;42.574;42.734;43.074;['50.53352844', '45.5777402222', '21.1239002076'];0.1600000000000037;False;[[0.38292456]];0.0;0.6931;0.13653000000000004
Bns003.segment.21;42.734;43.074;44.165;45.375;['43.8935769695', '28.6247358678'];1.091000000000001;False;[[0.7271595]];0.0;-0.7739499999999999;-0.77386
Bns003.segment.22;44.165;45.375;45.895;46.738;['28.86636928', '14.9440452489'];0.5200000000000031;True;[[0.52232146]];0.0;-0.09555000000000002;0.03011000000000008
Bns003.segment.25;46.014;48.724;49.199;52.599;['22.7994151742', '38.7043515918', '42.7432995937', '35.6568060661', '45.4836511806', '5.08151152778', '8.21201175207', '1.20245746939', '33.0107708512', '29.3677226543'];0.4750000000000014;False;[[0.3724144]];0.0;0.35248;-0.043989999999999974
Bns003.segment.26;49.199;52.599;52.664;53.193;['52.0079554711', '39.2506614545', '58.3154310401', '18.04124544', '44.0300745467', '17.08113162', '40.7730703111', '43.4956493333', '38.7020901633', '16.6584740816', '45.9635523306', '1.63670378512', '0.51641434375', '29.8836070928'];0.0650000000000048;False;[[0.3078806]];0.0;0.91886;0.36329999999999996
Bns003.segment.28;53.243;53.833;54.55;56.89;['42.12854358', '29.4085484444', '44.9363584'];0.7169999999999987;False;[[0.34083146]];0.0;-0.3147899999999999;-0.28891
Bns003.segment.29;54.55;56.89;57.792;61.032;['27.011848', '2.45985178512', '3.85332937716', '42.1206411111', '46.3359754793', '14.8326499', '52.5535281211', '42.88308616', '36.2461794741'];0.902000000000001;False;[[0.36893025]];0.0;-0.04343999999999992;0.15765000000000007
Bns003.segment.30;57.792;61.032;61.701;66.331;['2.9282118125', '20.598465695', '24.8938658225', '0.22582752', '21.107632782', '43.6705434815', '3.97365610431', '13.5638894068', '4.33608546746', '1.43498516667', '16.60305755', '37.1067855'];0.669000000000004;False;[[0.43359923]];0.0;0.5939499999999999;0.3155699999999999
Bns003.segment.31;61.701;66.331;67.097;67.911;['48.8589205714', '44.300048135', '33.1973982959', '13.8069706391', '4.97950604', '45.2768967995', '24.8185490918', '1.29284692593', '0.952799338843', '1.28524917708', '23.0182901403', '0.0', '17.2510612742', '60.4389359114'];0.7659999999999911;False;[[0.3784387]];0.0;0.0;-0.33436
Bns003.segment.32;67.097;67.911;69.129;71.609;[];1.2180000000000035;False;[[0.4449361]];0.0;0.0;0.0
Bns003.segment.33;69.129;71.609;72.057;75.435;['41.9939874286', '27.52195', '36.7902286228', '17.2882973086', '44.3921668934', '28.7239513058', '44.2070108844', '34.01235492', '12.259861', '9.95526240816', '32.7637157812', '29.8562523284'];0.4480000000000075;False;[[0.5977604]];0.0;0.0;0.29139000000000004
Bns003.segment.34;72.057;75.435;75.435;76.005;[];0.0;False;[[0.29021233]];0.0;0.0;0.0
Bns003.segment.36;76.055;81.015;81.053;81.515;['44.4385087101', '25.7277942997', '2.82977867456', '45.3743282592', '39.2286104348', '49.7127006864', '2.77215309', '47.3569182', '49.061345432', '0.0', '10.8447888947', '1.86778516667', '32.9330932653', '8.48302766667', '49.8672407812'];0.0379999999999967;False;[[0.6683574]];0.0;-0.6302599999999999;-0.49495999999999996
Bns003.segment.38;81.615;84.835;85.652;87.662;['2.19949944215', '13.3956996898', '1.13651271006', '1.65947646875', '48.4908420355', '45.5869375148', '35.0682813168'];0.8170000000000073;False;[[0.63979226]];0.0;0.15461999999999998;-0.10468
Bns003.segment.39;85.652;87.662;87.662;88.712;['45.0070930769', '43.9202896875', '7.41973036686', '16.5762640886', '42.9871994866', '0.0'];0.0;False;[[0.74409246]];0.0;-0.69129;-1.0
Bns003.segment.40;87.662;88.712;89.146;90.116;['44.9697341107', '4.54920621302', '45.3282839813'];0.4339999999999975;False;[[0.64168924]];0.0;0.33816;-0.10636000000000001
Bns003.segment.41;89.146;90.116;90.393;91.793;['43.8778165', '0.499120662722'];0.277000000000001;False;[[0.6146779]];0.0;0.5184999999999998;0.1797899999999999
Bns003.segment.42;90.393;91.793;91.252;91.689;['42.3534355442', '39.4833230612', '21.7121451605', '49.9376788313'];-0.541000000000011;True;[[0.5094857]];0.0;-0.6215100000000001;-0.41522000000000003
Bns003.segment.44;92.457;93.017;92.629;93.203;['0.0', '18.6581014375'];-0.387999999999991;True;[[0.49248385]];0.0;0.07402;-0.86503
Bns003.segment.47;93.471;95.221;95.961;97.211;['8.8877304142', '30.3724173', '12.974459625', '41.7160809218', '48.669608205', '45.6670627347'];0.7399999999999949;False;[[0.5230304]];0.0;-0.38649999999999995;-0.32181000000000004
Bns003.segment.48;95.961;97.211;97.834;101.325;['25.23055044', '2.08167361219', '19.2657368374', '5.57487692188', '31.4668464675'];0.6230000000000047;False;[[0.4399919]];0.0;0.0;-0.01256999999999997
Bns003.segment.49;97.834;101.325;101.325;101.814;[];0.0;False;[[0.8281034]];0.0;0.0;0.0
