segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_stds;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff
Bro016.segment.1;0.05;0.71;1.218;2.398;['39.9271498408', '0.0'];0.508;False;0.9280944;0.0;0.0;-1.0
Bro016.segment.2;1.218;2.398;2.607;3.247;['0.0', '49.2556738844'];0.209;True;0.64996326;0.0;-0.5708799999999999;-0.33018000000000003
Bro016.segment.3;2.607;3.247;2.62;2.88;['52.8507718145', '47.2300725208'];-0.6269999999999998;True;0.7560102;0.0;-0.48704000000000014;0.03069999999999995
Bro016.segment.4;2.62;2.88;3.917;4.247;['10.2440328571'];1.037;False;1.0000002;0.0;0.6058200000000001;0.5177400000000001
Bro016.segment.5;3.917;4.247;5.56;5.955;['53.255485888'];1.3129999999999995;True;0.6942589;0.0;0.91192;-0.08808000000000005
Bro016.segment.9;8.869;9.369;11.096;12.077;['0.0'];1.7270000000000003;True;0.23497327;0.0;0.0;-1.0
Bro016.segment.11;12.077;15.524;12.72;13.195;[];-2.8039999999999985;True;0.71234703;0.0;0.0;0.0
Bro016.segment.13;15.717;17.907;16.399;16.953;['29.8045960826', '39.38633198', '39.1823930211', '25.5301057296', '32.4312996647'];-1.5079999999999991;True;0.5375887;0.0;-0.2648999999999999;0.011419999999999986
Bro016.segment.15;18.447;22.387;23.087;26.387;['32.3147605', '40.6185233554', '2.62045713609', '14.9643567292', '4.13626527273', '27.1281547963', '42.3161854609', '37.9182579111', '38.7401261942', '41.2911107812', '43.8678077728', '30.4667915552'];0.6999999999999993;False;0.4263777;0.0;0.85431;0.03441000000000005
Bro016.segment.16;23.087;26.387;24.27;24.646;['21.7279523125', '46.63021686', '45.7515876543', '43.5570726111', '24.0531593728', '45.22028157', '37.4741226', '19.76010336', '0.580709330579', '8.56242216', '41.7523685799', '45.9970150311', '40.8277564', '3.45463903704', '2.37880285813', '42.9357499778'];-2.117000000000001;True;0.1567197;0.0;0.0;-0.3426
Bro016.segment.18;27.039;32.101;29.333;29.867;[];-2.7680000000000007;True;0.17709188;0.0;0.0;0.0
