segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_stds;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff
Bsr001.segment.1;0.01;0.996;0.32;2.74;['28.1453391389'];-0.6759999999999999;True;[[0.59531033]];0.0;0.0;0.42436000000000007
Bsr001.segment.3;0.996;3.041;3.307;10.372;[];0.266;False;[[0.2594697]];0.0;0.0;0.0
Bsr001.segment.4;3.307;10.372;5.22;6.79;[];-5.152;True;[[-0.02549188]];0.0;0.0;0.0
Bsr001.segment.5;5.22;6.79;5.511;6.834;['81.1616330556', '55.5880225473'];-1.279;True;[[0.8644406]];0.0;0.0;0.26411000000000007
Bsr001.segment.11;11.149;12.225;11.221;12.064;[];-1.0039999999999996;True;[[0.3685149]];0.0;0.0;0.0
Bsr001.segment.14;13.492;15.942;14.466;16.646;['0.0', '0.0', '46.0223586021', '49.0370448927', '121.244185315', '29.6456725469', '106.7094811', '15.8822667603', '1.81396822449', '43.694144', '75.1560606318'];-1.4760000000000009;True;[[0.43530184]];0.0;0.0;-0.11016999999999999
Bsr001.segment.18;16.573;19.116;19.116;21.764;[];0.0;False;[[0.40799752]];0.0;0.0;0.0
Bsr001.segment.20;19.9;22.59;21.652;24.162;[];-0.9379999999999988;True;[[0.3962292]];0.0;0.0;0.0
Bsr001.segment.21;21.652;24.162;21.764;22.83;['55.220760595', '61.5143856562', '37.0450156409', '11.3909644209', '10.7852146213', '7.99023829167', '68.1850623343', '68.972892843', '11.472036375', '20.2349869142'];-2.398;True;[[0.29945713]];0.0;0.0;0.52613
Bsr001.segment.22;21.764;22.83;22.232;23.7;[];-0.597999999999999;True;[[0.9822349]];0.0;0.0;0.0
Bsr001.segment.24;22.59;24.203;23.17;27.213;[];-1.0329999999999977;True;[[0.27354807]];0.0;0.0;0.0
Bsr001.segment.25;23.17;27.213;24.203;27.163;[];-3.0100000000000016;True;[[0.25510025]];0.0;0.0;0.0
Bsr001.segment.26;24.203;27.163;24.334;26.529;['10.2394142716', '23.6484706111', '32.152306892', '61.3187482689'];-2.8290000000000006;True;[[0.517751]];0.0;0.0;-0.41815
Bsr001.segment.29;26.438;30.234;27.693;29.343;[];-2.5410000000000004;True;[[0.5399995]];0.0;0.0;0.0
Bsr001.segment.30;27.693;29.343;29.595;30.425;['5.03469186851', '0.0', '0.0', '80.3014206562'];0.2519999999999989;True;[[0.6404414]];0.0;-1.95942;-0.52214
Bsr001.segment.31;29.595;30.425;30.211;34.262;['16.0324059', '16.158382', '1.43759775', '16.9608555873'];-0.2140000000000022;True;[[0.43488044]];0.0;0.022750000000000048;0.67761
Bsr001.segment.32;30.211;34.262;31.387;38.055;['6.01224298438', '52.9637378927', '68.8826017064'];-2.875;True;[[0.19181381]];0.0;0.0;-0.11792999999999998
Bsr001.segment.38;35.061;36.265;37.648;41.006;[];1.383000000000003;False;[[1.]];0.0;0.0;0.0
Bsr001.segment.39;37.648;41.006;38.105;39.215;[];-2.901000000000004;True;[[0.9500617]];0.0;0.0;0.0
Bsr001.segment.41;38.105;39.215;38.179;38.509;['52.6306573756', '62.8302259942'];-1.0360000000000014;True;[[0.9757571]];0.0;0.11599999999999988;0.1510499999999999
Bsr001.segment.40;38.179;38.509;39.203;39.913;['42.0139794375'];0.6940000000000026;True;[[0.79624784]];0.0;-0.02737999999999996;0.035050000000000026
Bsr001.segment.42;39.203;39.913;40.009;43.15;['43.9710143827', '8.8143889375', '34.0892241736'];0.0960000000000036;True;[[0.43183953]];0.0;0.0;0.006699999999999928
Bsr001.segment.43;40.009;43.15;41.406;41.934;[];-1.7439999999999998;True;[[0.5910012]];0.0;0.0;0.0
Bsr001.segment.47;42.49;43.01;43.75;44.418;['35.8959079388', '12.537896', '22.9743274558'];0.740000000000002;True;[[0.5485436]];0.0;-0.2056499999999999;0.17727000000000004
Bsr001.segment.51;44.39;44.86;44.76;45.61;['6.1480613719', '4.86911302041', '9.25572120312'];-0.1000000000000014;True;[[0.4100034]];0.0;1.20735;0.20734999999999992
Bsr001.segment.52;44.76;45.61;45.19;45.7;['0.0', '58.3464180208', '53.7679918889', '56.9365028646'];-0.4200000000000017;True;[[0.5556911]];0.0;0.020119999999999916;-0.27407000000000004
Bsr001.segment.53;45.19;45.7;45.312;47.982;['69.7236440889', '37.851721088'];-0.3880000000000052;True;[[0.6139809]];0.0;-0.05821999999999994;0.021789999999999976
Bsr001.segment.54;45.312;47.982;45.85;46.83;['40.99297825', '52.0696129524', '46.4830392361', '47.3071389116', '38.55382084'];-2.131999999999998;True;[[0.6139809]];0.0;-0.012850000000000028;-0.30743
Bsr001.segment.59;47.66;48.32;48.34;49.469;['68.7677876454', '36.3238750427'];0.0200000000000031;True;[[0.8673779]];0.0;-0.007770000000000055;0.013239999999999919
