segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_stds;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff
Btr002.segment.1;0.04;1.35;1.177;4.117;['0.0', '86.1105568', '52.4557900384', '60.6641590036', '31.0767340489'];-0.173;True;0.2747869;0.0;-0.47883000000000003;-0.76938
Btr002.segment.5;4.632;9.192;9.372;11.602;['103.956190531', '85.9696625762', '9.43865024221', '86.5217493835', '105.453062343', '92.5496013333', '98.0678137959', '75.9802599753', '116.125270139', '24.697785124', '68.9406755986', '94.4916479592', '85.3123878763', '111.230170716', '109.773859837'];0.1799999999999997;False;0.41677204;0.0;0.46953;-0.34528000000000003
Btr002.segment.6;9.372;11.602;10.519;11.683;['36.9343006667', '106.043747149', '116.301938786', '112.791506016', '89.04269025', '113.48601961', '154.439540017'];-1.0830000000000002;True;0.40515184;0.0;0.0;0.3834900000000001
Btr002.segment.7;10.519;11.683;11.85;13.02;[];0.1669999999999998;True;0.4721002;0.0;0.0;0.0
Btr002.segment.8;11.85;13.02;12.141;13.641;[];-0.8789999999999996;True;0.6422932;0.0;0.0;0.0
Btr002.segment.9;12.141;13.641;12.966;13.456;['82.8784976327'];-0.6750000000000007;True;0.8178687;0.0;-1.5806;-0.37
Btr002.segment.10;12.966;13.456;13.032;15.842;['92.465751649'];-0.4239999999999995;True;0.6268397;0.0;0.99661;1.2106
Btr002.segment.11;13.032;15.842;14.978;16.341;['87.8935532', '5.07079744444', '5.21854017751', '123.233366278', '93.5495166667', '94.1190965185', '44.0027553148', '63.2110132654', '71.4710893125', '65.2669306', '16.8358638333', '55.2503948757', '92.7236484533', '60.0517494844', '72.516433102', '93.090515124', '0.0', '108.183511022'];-0.8640000000000008;True;0.29382488;0.0;0.0;-0.36717
Btr002.segment.12;14.978;16.341;16.341;17.214;[];0.0;False;0.5814184;0.0;0.0;0.0
Btr002.segment.15;16.341;17.214;16.342;16.932;[];-0.8719999999999999;True;0.9436916;0.0;0.0;0.0
Btr002.segment.13;16.342;16.932;16.36;16.59;['91.8849390727'];-0.5719999999999992;True;0.8663878;0.0;-0.06885999999999992;0.52288
Btr002.segment.14;16.36;16.59;17.88;18.13;['100.827745975'];1.2899999999999991;True;0.9455927;0.0;1.06595;0.5917399999999999
Btr002.segment.16;17.88;18.13;18.266;21.116;['89.03574141'];0.1359999999999992;True;0.43792346;0.0;0.52579;-0.47421
Btr002.segment.17;18.266;21.116;18.551;19.091;['0.0', '0.0', '78.3446503781', '43.8411937639', '72.274209', '41.05882694', '25.7108065833', '105.001619944', '1.1096295', '5.66846428125', '70.5050896508', '92.3363271716'];-2.5650000000000013;True;0.3895423;0.0;0.14316000000000006;-0.10548999999999997
Btr002.segment.18;18.551;19.091;19.2;22.646;['48.07805441'];0.1089999999999982;True;0.45284274;0.0;0.0;-0.24865000000000004
Btr002.segment.19;19.2;22.646;21.327;29.414;[];-1.318999999999999;True;0.3760168;0.0;0.0;0.0
Btr002.segment.20;21.327;29.414;21.758;22.148;[];-7.656000000000002;True;0.48992708;0.0;0.0;0.0
Btr002.segment.21;21.758;22.148;22.369;53.862;[];0.221;True;0.87407994;0.0;0.0;0.0
Btr002.segment.23;24.299;24.509;26.803;27.053;['14.3860845398'];2.2940000000000005;True;0.948358;0.0;0.13788;-0.22655999999999998
Btr002.segment.24;26.803;27.053;27.04;27.31;['74.047897036'];-0.0130000000000016;True;0.97180974;0.0;-0.44661000000000006;-0.36444
Btr002.segment.25;27.04;27.31;29.898;31.003;['76.1571439'];2.588000000000001;True;0.6489899;0.0;0.0;0.08217000000000008
Btr002.segment.26;29.898;31.003;31.132;33.55;[];0.1290000000000013;False;0.58644783;0.0;0.0;0.0
Btr002.segment.27;31.132;33.55;33.598;34.488;[];0.0480000000000018;True;0.7732127;0.0;0.0;0.0
Btr002.segment.28;33.598;34.488;34.16;35.06;['0.0', '50.9350976886'];-0.3280000000000029;True;0.8686226;0.0;-0.8350199999999999;-0.49551999999999996
Btr002.segment.29;34.16;35.06;34.229;43.426;['69.2034427336'];-0.8310000000000031;True;0.204766;0.0;0.0;0.3394999999999999
Btr002.segment.30;34.229;43.426;36.277;37.91;[];-7.149000000000001;True;0.1861318;0.0;0.0;0.0
