segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_stds;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff;Level
Bed011.segment.1;2.432;2.672;4.89;7.35;[];2.2179999999999995;False;0.53659314;0.0;0.0;0.0;1
Bed011.segment.2;4.89;7.35;6.02;9.49;['29.47079692', '59.6033651735', '10.4782072231', '2.59583940496', '5.29415230769', '3.58058789414', '3.67441203254', '20.0707938184'];-1.33;True;0.2534731;0.0;0.0;0.25431;1
Bed011.segment.3;6.02;9.49;9.98;13.753;[];0.4900000000000002;False;0.72170484;0.0;0.0;0.0;2
Bed011.segment.4;9.98;13.753;14.25;18.684;[];0.4969999999999999;False;0.72328;0.0;0.0;0.0;2
Bed011.segment.5;14.25;18.684;19.491;23.855;[];0.8069999999999986;False;0.847762;0.0;0.0;0.0;2
Bed011.segment.7;19.491;23.855;24.32;28.648;[];0.4649999999999998;False;0.86030996;0.0;0.0;0.0;2
Bed011.segment.8;24.32;28.648;28.78;34.213;[];0.1320000000000014;False;0.86105955;0.0;0.0;0.0;2
Bed011.segment.9;28.78;34.213;34.91;38.708;[];0.6969999999999956;False;0.8832036;0.0;0.0;0.0;2
Bed011.segment.11;34.91;38.708;39.07;43.526;[];0.3620000000000019;False;0.8967402;0.0;0.0;0.0;2
Bed011.segment.12;39.07;43.526;46.77;49.03;[];3.244;True;0.3893142;0.0;0.0;0.0;2
Bed011.segment.13;46.77;49.03;48.06;48.6;['63.3237672716', '55.6068100833', '65.9211154815', '57.82254432', '5.05015581818', '2.64458984083', '3.88026483333', '45.8091648163', '36.1774847059'];-0.9699999999999988;True;0.5192831;0.0;1.05438;0.05438;2
Bed011.segment.14;48.06;48.6;48.99;49.26;['0.0', '103.27964', '2.96125302959', '90.6206490104'];0.3900000000000005;False;0.61861855;0.0;0.0;0.5562400000000001;2
Bed011.segment.15;48.99;49.26;50.12;55.043;[];0.8599999999999994;False;0.40181762;0.0;0.0;0.0;2
Bed011.segment.16;50.12;55.043;55.795;59.076;[];0.7520000000000024;False;0.7887522;0.0;0.0;0.0;2
Bed011.segment.17;55.795;59.076;59.692;62.492;[];0.6159999999999997;False;0.9435254;0.0;0.0;0.0;2
Bed011.segment.18;59.692;62.492;63.65;67.695;[];1.1580000000000013;False;0.8054903;0.0;0.0;0.0;2
Bed011.segment.19;63.65;67.695;68.393;73.401;[];0.6980000000000075;False;0.7672405;0.0;0.0;0.0;2
Bed011.segment.20;68.393;73.401;74.467;80.34;[];1.0660000000000025;False;0.93995905;0.0;0.0;0.0;2
Bed011.segment.21;74.467;80.34;80.708;85.153;[];0.367999999999995;False;0.8737587;0.0;0.0;0.0;2
Bed011.segment.22;80.708;85.153;85.93;89.17;[];0.777000000000001;False;0.8208593;0.0;0.0;0.0;2
Bed011.segment.23;85.93;89.17;92.47;92.77;[];3.299999999999997;True;0.50624776;1.0;0.0;0.0;2
Bed011.segment.24;92.47;92.77;93.38;94.18;['65.0555579433'];0.6099999999999994;True;0.67680144;0.0;0.0720400000000001;0.165;1
Bed011.segment.25;93.38;94.18;94.98;95.92;['92.7806629204', '68.1301404444', '78.812126464'];0.7999999999999972;False;0.6531538;0.0;0.0;0.18096;1
Bed011.segment.26;94.98;95.92;96.43;98.01;[];0.5100000000000051;False;0.25509632;0.0;0.0;0.0;1
Bed011.segment.27;96.43;98.01;98.782;99.7;['68.3822227755', '53.3849083264', '65.2126811852', '54.9315751173', '62.7299789', '61.497074625', '50.7618538962'];0.7719999999999914;True;0.2853433;0.0;-0.95662;-0.60135;1
Bed011.segment.30;100.66;102.41;102.92;104.55;['5.47367092181', '52.9236010286', '60.2599370414', '11.9369385237', '34.3984603954'];0.5100000000000051;False;0.5143306;0.0;0.11978;0.03607;1
Bed011.segment.31;102.92;104.55;105.04;109.83;['56.7870232778', '4.59030555556', '4.99976266667', '23.105383875', '30.801230438', '54.7736964074', '33.8919804209', '22.5224654298'];0.4900000000000091;False;0.34478956;0.0;0.0;0.0194099999999999;1
Bed011.segment.32;105.04;109.83;109.85;113.51;[];0.019999999999996;True;0.29181606;0.0;0.0;0.0;1
