segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_stds;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff;Level
Bns001.segment.3;3.644;5.106;6.73;7.89;[];1.6240000000000006;True;0.6784265;0.0;0.0;0.0;1
Bns001.segment.4;6.73;7.89;8.399;8.849;['19.1607676389', '0.0', '49.5559395779', '1.94660835714', '29.464913314'];0.5089999999999995;True;0.7730075;0.0;0.8706299999999999;0.6730799999999999;1
Bns001.segment.5;8.399;8.849;8.47;9.45;['43.4518600606'];-0.3789999999999995;True;0.72785604;0.0;-1.37358;-0.19755;1
Bns001.segment.6;8.47;9.45;9.76;11.14;['14.0602044444', '15.9368074667', '32.14106512', '36.2347956463', '15.5176172071'];0.3100000000000005;False;0.48301747;0.0;1.22317;1.0088;1
Bns001.segment.7;9.76;11.14;11.21;12.55;['45.2068716825', '49.5395967', '3.25306536364', '2.49016740625', '43.439929535', '38.9861169704'];0.0700000000000002;False;0.61260515;0.0;0.73398;-0.26602;1
Bns001.segment.8;11.21;12.55;12.55;14.74;['0.0', '0.0', '36.857524876', '3.9443756', '3.50611301235', '42.7089971302', '44.5277990625', '21.6737995625', '38.9909926667', '44.8468592578', '42.02043736'];0.0;False;0.6137736;0.0;0.82314;-0.17686;1
Bns001.segment.9;12.55;14.74;15.13;16.96;['0.0', '0.0', '0.0', '56.1200815291', '0.0', '0.0', '50.4696406933', '42.6687744', '32.0427985067', '35.0676620313', '50.5188027376', '43.9308377092'];0.3900000000000005;False;0.38154078;0.0;1.042;0.042;1
Bns001.segment.10;15.13;16.96;17.44;21.645;['0.0', '44.364318338', '43.1060924074', '2.025921625', '36.5947155918', '45.0815520859', '44.6994488163', '44.7179919753'];0.4800000000000004;False;0.5083804;0.0;0.0;0.5298499999999999;1
Bns001.segment.11;17.44;21.645;21.787;22.88;[];0.1419999999999994;False;0.6743005;0.0;0.0;0.0;1
Bns001.segment.12;21.787;22.88;23.032;23.802;[];0.152000000000001;False;0.69226944;0.0;0.0;0.0;1
Bns001.segment.13;23.032;23.802;23.884;24.758;[];0.0820000000000007;False;0.8063021;0.0;0.0;0.0;1
Bns001.segment.14;23.884;24.758;24.806;26.079;[];0.0480000000000018;False;0.6278097;0.0;0.0;0.0;1
Bns001.segment.15;24.806;26.079;26.114;27.349;[];0.0350000000000001;False;0.6787522;0.0;0.0;0.0;1
Bns001.segment.16;26.114;27.349;27.349;28.375;[];0.0;False;0.6700891;0.0;0.0;0.0;1
Bns001.segment.17;27.349;28.375;28.676;30.418;[];0.3009999999999984;False;0.7984222;0.0;0.0;0.0;1
Bns001.segment.18;28.676;30.418;30.725;31.88;[];0.3070000000000021;False;0.74662423;0.0;0.0;0.0;1
Bns001.segment.19;30.725;31.88;31.937;32.614;[];0.0570000000000021;False;0.4684139;0.0;0.0;0.0;1
Bns001.segment.20;31.937;32.614;32.731;33.231;[];0.1170000000000044;False;0.7412759;0.0;0.0;0.0;1
Bns001.segment.21;32.731;33.231;33.511;35.556;[];0.2800000000000011;False;0.647573;0.0;0.0;0.0;1
Bns001.segment.22;33.511;35.556;35.814;37.26;[];0.2580000000000026;False;0.70322335;0.0;0.0;0.0;1
Bns001.segment.23;35.814;37.26;37.581;38.336;[];0.321000000000005;False;0.88885355;0.0;0.0;0.0;1
Bns001.segment.24;37.581;38.336;38.427;39.308;[];0.091000000000001;False;0.6439916;0.0;0.0;0.0;1
Bns001.segment.25;38.427;39.308;39.397;40.005;[];0.0889999999999986;False;0.83522177;0.0;0.0;0.0;1
