segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_stds;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff;Level
Bro017.segment.1;0.04;0.84;1.139;1.319;['16.0963327812', '69.71202475', '69.8509346683', '51.533034576'];0.299;True;0.62629354;0.0;0.99035;0.3784799999999999;1
Bro017.segment.2;1.139;1.319;1.45;1.586;['42.6107590222'];0.131;False;0.6679857;0.0;-0.60065;-0.61187;1
Bro017.segment.4;1.81;4.77;3.47;3.85;['55.3395036875', '7.63704503601', '33.9330350234', '57.8175867146', '31.2719055233', '13.6973465103', '19.9819349421', '59.1505589568', '70.0090080277', '6.513412335', '19.1380633278'];-1.2999999999999994;True;0.63263595;0.0;0.34378;0.5396000000000001;1
Bro017.segment.5;3.47;3.85;5.322;6.882;['17.2688195893'];1.472;True;0.5189715;0.0;1.19582;0.1958200000000001;1
Bro017.segment.6;5.322;6.882;5.342;6.92;['0.0', '72.4200934325', '4.03602824913', '28.0037580451', '51.9841765976', '46.6898999467', '26.4949574048'];-1.54;True;0.453098;0.0;0.3967200000000001;0.2014800000000001;1
Bro017.segment.8;6.96;7.31;7.348;10.768;['39.75787254'];0.0380000000000002;False;0.8854875;0.0;-0.1840199999999999;-0.1952399999999999;1
Bro017.segment.12;9.05;10.585;10.761;12.311;['55.3395036875', '7.63704503601', '33.9330350234', '57.8175867146', '31.2719055233', '13.6973465103', '19.9819349421', '59.1505589568', '70.0090080277', '6.513412335', '19.1380633278', '0.0', '72.4200934325', '4.03602824913', '28.0037580451', '51.9841765976', '46.6898999467', '26.4949574048', '32.0336637952', '51.9878005533'];0.1759999999999983;True;0.44639406;0.0;0.01922;-0.12988;1
Bro017.segment.13;10.761;12.311;11.8;22.34;['43.9958094545', '29.7666366296', '38.9248803673', '1.41469269388', '46.6443629625'];-0.5109999999999992;True;0.33755443;0.0;-0.6140699999999999;-0.32975;1
Bro017.segment.14;11.8;22.34;12.355;14.01;['4.46073034568', '64.3529910416', '4.18549792593', '4.25537284298', '5.5072269375', '38.019902966', '87.6601890667', '66.3841163967', '49.0215375868', '16.0637588521', '75.9215857163', '33.7540183254', '31.1624913376', '23.8131041852', '9.64328777778', '52.9780150754', '25.2627269184', '36.4601015556', '41.4945676328', '3.18488601653', '0.444705083333', '3.3747328144', '32.7051888789', '37.7454943594', '56.47669696', '20.60404832', '30.8622249307', '54.3835597222', '28.6648768642', '53.3253135125', '46.8220432514', '2.11868338542', '4.66325922222'];-9.985;True;0.08445652;0.0;-0.19276;0.1874199999999999;1
Bro017.segment.16;19.641;19.991;20.325;26.31;['54.1788256627'];0.3339999999999996;False;0.37969854;0.0;0.0;0.3801799999999999;1
Bro017.segment.17;20.325;26.31;23.139;23.439;[];-3.171;True;0.37969854;0.0;0.0;0.0;1
Bro017.segment.18;23.139;23.439;24.864;33.364;['9.97682264463'];1.4250000000000007;False;0.26347065;1.0;0.7875899999999999;0.3157799999999999;1
Bro017.segment.19;24.864;33.364;32.364;32.624;['53.4561256327', '27.7851504375', '71.7712743737', '78.1647162645', '67.6162413629', '86.9629068639', '12.267759679', '4.50280865625', '40.5599651086', '61.1421521667', '54.262487385', '18.2363917785', '25.2752005536', '55.8662784793', '8.36309803704', '2.1797925', '52.9172010444', '28.8578972479', '54.237476716', '2.3442879', '8.94310606122', '2.93864509333', '23.8881719349', '3.73094871006', '53.249456', '43.0403655741', '51.8003628889', '39.3475934133', '47.6875417023'];-1.0;True;0.26347065;0.0;-0.98258;-0.57152;1
