,,Precision,Recall
1,16,0.0555555559694767,0.0364583320915699
1,47,0.054054055362939835,0.03125
1,78,0.0585365854203701,0.0625
1,109,0.06172839552164078,0.02604166604578495
1,140,0.05314009636640549,0.0572916679084301
1,171,0.06542056053876877,0.0364583320915699
1,202,0.0833333358168602,0.02604166604578495
1,233,0.0517241396009922,0.03125
1,264,0.05622490122914314,0.0729166641831398
1,295,0.05820105969905853,0.0572916679084301
1,326,0.03097345121204853,0.0364583320915699
1,357,0.04663212597370148,0.046875
1,388,0.03100775182247162,0.02083333395421505
1,419,0.03846153989434242,0.0677083358168602
1,450,0.10810811072587967,0.02083333395421505
1,481,0.03151862323284149,0.0572916679084301
1,512,0.03186274692416191,0.0677083358168602
2,16,0.0845070406794548,0.03125
2,47,0.07042253762483597,0.02604166604578495
2,78,0.03305784985423088,0.0833333358168602
2,109,0.04085602983832359,0.109375
2,140,0.04129793494939804,0.0729166641831398
2,171,0.04800000041723251,0.0625
2,202,0.06666667014360428,0.02604166604578495
2,233,0.0555555559694767,0.0572916679084301
2,264,0.028037382289767265,0.09375
2,295,0.07878787815570831,0.0677083358168602
2,326,0.043795619159936905,0.03125
2,357,0.07352941483259201,0.02604166604578495
2,388,0.019739793613553047,0.2291666716337204
2,419,0.05223880708217621,0.0364583320915699
2,450,0.05343511328101158,0.0364583320915699
2,481,0.030237581580877304,0.0729166641831398
2,512,0.03586497902870178,0.0885416641831398
3,16,0.038235295563936234,0.0677083358168602
