,,Precision,Recall
3,16,0.030701754614710808,0.0364583320915699
3,47,0.06451612710952759,0.02083333395421505
3,78,0.025806451216340065,0.0416666679084301
3,109,0.04421768710017204,0.0677083358168602
3,140,0.05978260934352875,0.0572916679084301
3,171,0.03328509256243706,0.1197916641831398
3,202,0.021621622145175934,0.0625
3,233,0.03551912680268288,0.0677083358168602
3,264,0.02506265603005886,0.0520833320915699
3,295,0.03200000151991844,0.0416666679084301
3,326,0.05376344174146652,0.02604166604578495
3,357,0.033136095851659775,0.1458333283662796
3,388,0.05917159840464592,0.0520833320915699
3,419,0.04444444552063942,0.02083333395421505
3,450,0.0793650820851326,0.02604166604578495
3,481,0.03598971664905548,0.0729166641831398
3,512,0.03418803587555885,0.0416666679084301
4,16,0.031152648851275444,0.0520833320915699
