topic_id,start_segment_id
Bmr002.topic.1,Bmr002.segment.1
Bmr002.topic.2,Bmr002.segment.228
Bmr002.topic.3,Bmr002.segment.415
Bmr002.topic.4,Bmr002.segment.437
Bmr002.topic.5,Bmr002.segment.495
Bmr002.topic.9,Bmr002.segment.692
Bmr002.topic.10,Bmr002.segment.793
Bmr002.topic.11,Bmr002.segment.825
Bmr002.topic.14,Bmr002.segment.926
Bmr002.topic.16,"Bmr002.segment.1,023"
Bmr002.topic.17,"Bmr002.segment.1,071"
Bmr002.topic.18,"Bmr002.segment.1,096"
Bmr002.topic.26,"Bmr002.segment.1,526"
Bmr002.topic.27,"Bmr002.segment.1,636"
Bmr002.topic.32,"Bmr002.segment.1,686"
Bmr002.topic.35,"Bmr002.segment.1,775"
Bmr002.topic.40,"Bmr002.segment.1,968"
Bmr002.topic.41,"Bmr002.segment.2,002"
Bmr002.topic.42,"Bmr002.segment.2,124"
