topic_id,start_segment_id
Bns002.topic.1,Bns002.segment.2
Bns002.topic.3,Bns002.segment.8
Bns002.topic.5,Bns002.segment.52
Bns002.topic.6,Bns002.segment.85
Bns002.topic.7,Bns002.segment.347
Bns002.topic.8,Bns002.segment.923
Bns002.topic.9,"Bns002.segment.1,130"
Bns002.topic.10,"Bns002.segment.1,438"
Bns002.topic.11,"Bns002.segment.1,706"
Bns002.topic.12,"Bns002.segment.1,948"
Bns002.topic.14,"Bns002.segment.1,969"
Bns002.topic.15,"Bns002.segment.2,118"
Bns002.topic.16,"Bns002.segment.2,229"
Bns002.topic.17,"Bns002.segment.2,235"
