topic_id,start_segment_id
Bro017.topic.1,Bro017.segment.1
Bro017.topic.2,Bro017.segment.19
Bro017.topic.8,Bro017.segment.24
Bro017.topic.7,Bro017.segment.122
Bro017.topic.3,Bro017.segment.150
Bro017.topic.4,Bro017.segment.205
Bro017.topic.5,Bro017.segment.368
Bro017.topic.6,Bro017.segment.422
Bro017.topic.9,Bro017.segment.540
Bro017.topic.10,Bro017.segment.556
Bro017.topic.11,Bro017.segment.572
Bro017.topic.12,Bro017.segment.985
Bro017.topic.13,"Bro017.segment.1,110"
Bro017.topic.15,"Bro017.segment.1,159"
Bro017.topic.16,"Bro017.segment.1,210"
Bro017.topic.17,"Bro017.segment.1,321"
Bro017.topic.18,"Bro017.segment.1,342"
