topic_id,start_segment_id
Bsr001.topic.1,Bsr001.segment.1
Bsr001.topic.2,Bsr001.segment.265
Bsr001.topic.3,Bsr001.segment.676
Bsr001.topic.24,"Bsr001.segment.1,114"
Bsr001.topic.4,"Bsr001.segment.1,154"
Bsr001.topic.5,"Bsr001.segment.1,173"
Bsr001.topic.6,"Bsr001.segment.1,205"
Bsr001.topic.7,"Bsr001.segment.1,236"
Bsr001.topic.8,"Bsr001.segment.1,411"
Bsr001.topic.9,"Bsr001.segment.1,572"
Bsr001.topic.10,"Bsr001.segment.1,608"
Bsr001.topic.11,"Bsr001.segment.1,707"
Bsr001.topic.12,"Bsr001.segment.1,743"
Bsr001.topic.13,"Bsr001.segment.1,779"
Bsr001.topic.14,"Bsr001.segment.1,861"
Bsr001.topic.15,"Bsr001.segment.1,904"
Bsr001.topic.16,"Bsr001.segment.1,935"
Bsr001.topic.17,"Bsr001.segment.1,983"
Bsr001.topic.18,"Bsr001.segment.2,073"
Bsr001.topic.19,"Bsr001.segment.2,096"
Bsr001.topic.20,"Bsr001.segment.2,187"
Bsr001.topic.21,"Bsr001.segment.2,318"
Bsr001.topic.22,"Bsr001.segment.2,385"
Bsr001.topic.23,"Bsr001.segment.2,470"
Bsr001.topic.25,"Bsr001.segment.2,697"
Bsr001.topic.26,"Bsr001.segment.2,742"
