topic_id,start_segment_id
Btr001.topic.1,Btr001.segment.1
Btr001.topic.2,Btr001.segment.35
Btr001.topic.3,Btr001.segment.60
Btr001.topic.4,Btr001.segment.67
Btr001.topic.5,Btr001.segment.139
Btr001.topic.7,Btr001.segment.195
Btr001.topic.13,Btr001.segment.505
Btr001.topic.14,Btr001.segment.537
Btr001.topic.15,Btr001.segment.559
Btr001.topic.16,Btr001.segment.596
Btr001.topic.18,Btr001.segment.662
Btr001.topic.22,Btr001.segment.903
Btr001.topic.23,Btr001.segment.961
Btr001.topic.24,"Btr001.segment.1,002"
Btr001.topic.25,"Btr001.segment.1,034"
Btr001.topic.26,"Btr001.segment.1,103"
Btr001.topic.27,"Btr001.segment.1,116"
Btr001.topic.28,"Btr001.segment.1,217"
Btr001.topic.29,"Btr001.segment.1,250"
Btr001.topic.30,"Btr001.segment.1,289"
Btr001.topic.31,"Btr001.segment.1,353"
Btr001.topic.32,"Btr001.segment.1,372"
Btr001.topic.34,"Btr001.segment.1,525"
Btr001.topic.35,"Btr001.segment.1,563"
Btr001.topic.36,"Btr001.segment.1,580"
Btr001.topic.37,"Btr001.segment.1,621"
Btr001.topic.38,"Btr001.segment.1,666"
Btr001.topic.39,"Btr001.segment.1,709"
Btr001.topic.41,"Btr001.segment.1,807"
Btr001.topic.42,"Btr001.segment.1,845"
Btr001.topic.43,"Btr001.segment.2,006"
Btr001.topic.44,"Btr001.segment.2,052"
Btr001.topic.45,"Btr001.segment.2,140"
Btr001.topic.46,"Btr001.segment.2,158"
Btr001.topic.47,"Btr001.segment.2,170"
Btr001.topic.52,"Btr001.segment.2,327"
Btr001.topic.53,"Btr001.segment.2,452"
Btr001.topic.55,"Btr001.segment.2,609"
Btr001.topic.56,"Btr001.segment.2,676"
Btr001.topic.57,"Btr001.segment.2,757"
Btr001.topic.58,"Btr001.segment.2,775"
Btr001.topic.59,"Btr001.segment.2,808"
Btr001.topic.60,"Btr001.segment.2,924"
